Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Liechtenstein,LS,Harvest,10402.192443847656,0.0010402192443847657
2011,11,Liechtenstein,LS,Fires,0,0
2011,11,Liechtenstein,LS,ExtremeEvents,0,0
2012,12,Liechtenstein,LS,Harvest,23882.340270996097,0.00238823402709961
2012,12,Liechtenstein,LS,Fires,0,0
2012,12,Liechtenstein,LS,ExtremeEvents,0,0
2013,13,Liechtenstein,LS,Harvest,22036.993408203125,0.0022036993408203124
2013,13,Liechtenstein,LS,Fires,0,0
2013,13,Liechtenstein,LS,ExtremeEvents,0,0
2014,14,Liechtenstein,LS,Harvest,25105.77618408203,0.002510577618408203
2014,14,Liechtenstein,LS,Fires,0,0
2014,14,Liechtenstein,LS,ExtremeEvents,0,0
2015,15,Liechtenstein,LS,Harvest,11023.390441894531,0.001102339044189453
2015,15,Liechtenstein,LS,Fires,0,0
2015,15,Liechtenstein,LS,ExtremeEvents,0,0
2016,16,Liechtenstein,LS,Harvest,42870.12957763672,0.004287012957763672
2016,16,Liechtenstein,LS,Fires,0,0
2016,16,Liechtenstein,LS,ExtremeEvents,0,0
2017,17,Liechtenstein,LS,Harvest,33680.12286376953,0.003368012286376953
2017,17,Liechtenstein,LS,Fires,0,0
2017,17,Liechtenstein,LS,ExtremeEvents,0,0
2018,18,Liechtenstein,LS,Harvest,53292.83349609375,0.005329283349609375
2018,18,Liechtenstein,LS,Fires,0,0
2018,18,Liechtenstein,LS,ExtremeEvents,0,0
2019,19,Liechtenstein,LS,Harvest,88193.52935791016,0.008819352935791015
2019,19,Liechtenstein,LS,Fires,613.1275634765625,6.131275634765624e-5
2019,19,Liechtenstein,LS,ExtremeEvents,0,0
2020,20,Liechtenstein,LS,Harvest,28166.31756591797,0.002816631756591797
2020,20,Liechtenstein,LS,Fires,0,0
2020,20,Liechtenstein,LS,ExtremeEvents,0,0
2021,21,Liechtenstein,LS,Harvest,5510.6923828125,5.5106923828125e-4
2021,21,Liechtenstein,LS,Fires,0,0
2021,21,Liechtenstein,LS,ExtremeEvents,0,0
2022,22,Liechtenstein,LS,Harvest,14689.934020996094,0.0014689934020996093
2022,22,Liechtenstein,LS,Fires,0,0
2022,22,Liechtenstein,LS,ExtremeEvents,0,0
2023,23,Liechtenstein,LS,Harvest,8579.65478515625,8.57965478515625e-4
2023,23,Liechtenstein,LS,Fires,0,0
2023,23,Liechtenstein,LS,ExtremeEvents,0,0
2024,24,Liechtenstein,LS,Harvest,56352.771728515625,0.005635277172851562
2024,24,Liechtenstein,LS,Fires,0,0
2024,24,Liechtenstein,LS,ExtremeEvents,0,0
2025,25,Liechtenstein,LS,Harvest,30008.517578125,0.0030008517578125
2025,25,Liechtenstein,LS,Fires,0,0
2025,25,Liechtenstein,LS,ExtremeEvents,0,0
