Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Lesotho,LT,Harvest,0,0
2011,11,Lesotho,LT,Fires,0,0
2011,11,Lesotho,LT,ExtremeEvents,0,0
2012,12,Lesotho,LT,Harvest,0,0
2012,12,Lesotho,LT,Fires,0,0
2012,12,Lesotho,LT,ExtremeEvents,0,0
2013,13,Lesotho,LT,Harvest,0,0
2013,13,Lesotho,LT,Fires,0,0
2013,13,Lesotho,LT,ExtremeEvents,0,0
2014,14,Lesotho,LT,Harvest,0,0
2014,14,Lesotho,LT,Fires,0,0
2014,14,Lesotho,LT,ExtremeEvents,0,0
2015,15,Lesotho,LT,Harvest,0,0
2015,15,Lesotho,LT,Fires,0,0
2015,15,Lesotho,LT,ExtremeEvents,0,0
2016,16,Lesotho,LT,Harvest,0,0
2016,16,Lesotho,LT,Fires,0,0
2016,16,Lesotho,LT,ExtremeEvents,0,0
2017,17,Lesotho,LT,Harvest,0,0
2017,17,Lesotho,LT,Fires,0,0
2017,17,Lesotho,LT,ExtremeEvents,0,0
2018,18,Lesotho,LT,Harvest,0,0
2018,18,Lesotho,LT,Fires,0,0
2018,18,Lesotho,LT,ExtremeEvents,0,0
2019,19,Lesotho,LT,Harvest,0,0
2019,19,Lesotho,LT,Fires,0,0
2019,19,Lesotho,LT,ExtremeEvents,0,0
2020,20,Lesotho,LT,Harvest,0,0
2020,20,Lesotho,LT,Fires,0,0
2020,20,Lesotho,LT,ExtremeEvents,0,0
2021,21,Lesotho,LT,Harvest,0,0
2021,21,Lesotho,LT,Fires,0,0
2021,21,Lesotho,LT,ExtremeEvents,0,0
2022,22,Lesotho,LT,Harvest,0,0
2022,22,Lesotho,LT,Fires,0,0
2022,22,Lesotho,LT,ExtremeEvents,0,0
2023,23,Lesotho,LT,Harvest,0,0
2023,23,Lesotho,LT,Fires,0,0
2023,23,Lesotho,LT,ExtremeEvents,0,0
2024,24,Lesotho,LT,Harvest,0,0
2024,24,Lesotho,LT,Fires,0,0
2024,24,Lesotho,LT,ExtremeEvents,0,0
2025,25,Lesotho,LT,Harvest,0,0
2025,25,Lesotho,LT,Fires,0,0
2025,25,Lesotho,LT,ExtremeEvents,0,0
