Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Luxembourg,LU,Harvest,4349751.957719871,0.43497519577198707
2011,11,Luxembourg,LU,Fires,9262.6881103515625,9.262688110351563e-4
2011,11,Luxembourg,LU,ExtremeEvents,9886.5106201171875,9.886510620117188e-4
2012,12,Luxembourg,LU,Harvest,4453996.798203652,0.44539967982036516
2012,12,Luxembourg,LU,Fires,62618.96179199219,0.006261896179199219
2012,12,Luxembourg,LU,ExtremeEvents,19773.939697265625,0.0019773939697265625
2013,13,Luxembourg,LU,Harvest,3455969.0376285333,0.34559690376285335
2013,13,Luxembourg,LU,Fires,4630.137268066406,4.630137268066406e-4
2013,13,Luxembourg,LU,ExtremeEvents,581.6202392578125,5.816202392578125e-5
2014,14,Luxembourg,LU,Harvest,4181061.626784621,0.41810616267846207
2014,14,Luxembourg,LU,Fires,8124.8409423828125,8.124840942382813e-4
2014,14,Luxembourg,LU,ExtremeEvents,13304.03711272595,0.001330403711272595
2015,15,Luxembourg,LU,Harvest,3179008.9181872797,0.317900891818728
2015,15,Luxembourg,LU,Fires,580.74603271484375,5.8074603271484376e-5
2015,15,Luxembourg,LU,ExtremeEvents,0,0
2016,16,Luxembourg,LU,Harvest,5057034.889541926,0.5057034889541926
2016,16,Luxembourg,LU,Fires,70741.45642089844,0.0070741456420898435
2016,16,Luxembourg,LU,ExtremeEvents,581.5626220703125,5.815626220703125e-5
2017,17,Luxembourg,LU,Harvest,4106868.3869293807,0.4106868386929381
2017,17,Luxembourg,LU,Fires,33673.436462402344,0.0033673436462402346
2017,17,Luxembourg,LU,ExtremeEvents,581.56585693359375,5.8156585693359375e-5
2018,18,Luxembourg,LU,Harvest,4479558.558725155,0.4479558558725155
2018,18,Luxembourg,LU,Fires,3481.200256347656,3.4812002563476557e-4
2018,18,Luxembourg,LU,ExtremeEvents,4652.846740722656,4.652846740722656e-4
2019,19,Luxembourg,LU,Harvest,5325632.749942555,0.5325632749942555
2019,19,Luxembourg,LU,Fires,40018.67138671875,0.004001867138671875
2019,19,Luxembourg,LU,ExtremeEvents,0,0
2020,20,Luxembourg,LU,Harvest,6530071.046152153,0.6530071046152153
2020,20,Luxembourg,LU,Fires,7533.690124511719,7.533690124511719e-4
2020,20,Luxembourg,LU,ExtremeEvents,0,0
2021,21,Luxembourg,LU,Harvest,10719117.766628612,1.0719117766628612
2021,21,Luxembourg,LU,Fires,35455.32507324219,0.0035455325073242188
2021,21,Luxembourg,LU,ExtremeEvents,7560.464782714844,7.560464782714844e-4
2022,22,Luxembourg,LU,Harvest,3158553.827689616,0.3158553827689616
2022,22,Luxembourg,LU,Fires,3469.5870971679688,3.4695870971679685e-4
2022,22,Luxembourg,LU,ExtremeEvents,2326.292236328125,2.326292236328125e-4
2023,23,Luxembourg,LU,Harvest,9114392.247463807,0.9114392247463807
2023,23,Luxembourg,LU,Fires,97450.652024213,0.009745065202421301
2023,23,Luxembourg,LU,ExtremeEvents,15121.121337890623,0.0015121121337890622
2024,24,Luxembourg,LU,Harvest,5852383.949534218,0.5852383949534218
2024,24,Luxembourg,LU,Fires,24937.960998535156,0.0024937960998535156
2024,24,Luxembourg,LU,ExtremeEvents,0,0
2025,25,Luxembourg,LU,Harvest,3846725.440454102,0.38467254404541024
2025,25,Luxembourg,LU,Fires,577.70587158203125,5.7770587158203125e-5
2025,25,Luxembourg,LU,ExtremeEvents,0,0
