Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Martinique,MB,Harvest,0,0
2011,11,Martinique,MB,Fires,0,0
2011,11,Martinique,MB,ExtremeEvents,0,0
2012,12,Martinique,MB,Harvest,0,0
2012,12,Martinique,MB,Fires,0,0
2012,12,Martinique,MB,ExtremeEvents,0,0
2013,13,Martinique,MB,Harvest,0,0
2013,13,Martinique,MB,Fires,0,0
2013,13,Martinique,MB,ExtremeEvents,0,0
2014,14,Martinique,MB,Harvest,0,0
2014,14,Martinique,MB,Fires,0,0
2014,14,Martinique,MB,ExtremeEvents,0,0
2015,15,Martinique,MB,Harvest,0,0
2015,15,Martinique,MB,Fires,0,0
2015,15,Martinique,MB,ExtremeEvents,0,0
2016,16,Martinique,MB,Harvest,0,0
2016,16,Martinique,MB,Fires,0,0
2016,16,Martinique,MB,ExtremeEvents,0,0
2017,17,Martinique,MB,Harvest,0,0
2017,17,Martinique,MB,Fires,0,0
2017,17,Martinique,MB,ExtremeEvents,0,0
2018,18,Martinique,MB,Harvest,0,0
2018,18,Martinique,MB,Fires,0,0
2018,18,Martinique,MB,ExtremeEvents,0,0
2019,19,Martinique,MB,Harvest,0,0
2019,19,Martinique,MB,Fires,0,0
2019,19,Martinique,MB,ExtremeEvents,0,0
2020,20,Martinique,MB,Harvest,0,0
2020,20,Martinique,MB,Fires,0,0
2020,20,Martinique,MB,ExtremeEvents,0,0
2021,21,Martinique,MB,Harvest,0,0
2021,21,Martinique,MB,Fires,0,0
2021,21,Martinique,MB,ExtremeEvents,0,0
2022,22,Martinique,MB,Harvest,0,0
2022,22,Martinique,MB,Fires,0,0
2022,22,Martinique,MB,ExtremeEvents,0,0
2023,23,Martinique,MB,Harvest,0,0
2023,23,Martinique,MB,Fires,0,0
2023,23,Martinique,MB,ExtremeEvents,0,0
2024,24,Martinique,MB,Harvest,0,0
2024,24,Martinique,MB,Fires,0,0
2024,24,Martinique,MB,ExtremeEvents,0,0
2025,25,Martinique,MB,Harvest,0,0
2025,25,Martinique,MB,Fires,0,0
2025,25,Martinique,MB,ExtremeEvents,0,0
