Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,"Moldova, Republic of",MD,Harvest,1583966.5527499332,0.15839665527499333
2011,11,"Moldova, Republic of",MD,Fires,181340.60424493527,0.018134060424493528
2011,11,"Moldova, Republic of",MD,ExtremeEvents,113259.89135742188,0.011325989135742188
2012,12,"Moldova, Republic of",MD,Harvest,12894190.404930685,1.2894190404930685
2012,12,"Moldova, Republic of",MD,Fires,1529935.417053223,0.15299354170532228
2012,12,"Moldova, Republic of",MD,ExtremeEvents,4027429.248205088,0.40274292482050883
2013,13,"Moldova, Republic of",MD,Harvest,1745311.0461569394,0.17453110461569393
2013,13,"Moldova, Republic of",MD,Fires,33280.45050048828,0.0033280450500488283
2013,13,"Moldova, Republic of",MD,ExtremeEvents,2470.546813964844,2.470546813964844e-4
2014,14,"Moldova, Republic of",MD,Harvest,3353781.356309838,0.3353781356309838
2014,14,"Moldova, Republic of",MD,Fires,25229.658446547564,0.0025229658446547566
2014,14,"Moldova, Republic of",MD,ExtremeEvents,35873.699645996094,0.0035873699645996094
2015,15,"Moldova, Republic of",MD,Harvest,4784411.514993824,0.47844115149938243
2015,15,"Moldova, Republic of",MD,Fires,4852.3031005859375,4.852303100585937e-4
2015,15,"Moldova, Republic of",MD,ExtremeEvents,32790.797790527344,0.0032790797790527345
2016,16,"Moldova, Republic of",MD,Harvest,8024310.141532629,0.8024310141532629
2016,16,"Moldova, Republic of",MD,Fires,62094.716064453125,0.006209471606445313
2016,16,"Moldova, Republic of",MD,ExtremeEvents,106402.1665649414,0.010640216656494141
2017,17,"Moldova, Republic of",MD,Harvest,10343147.285186648,1.034314728518665
2017,17,"Moldova, Republic of",MD,Fires,159421.54791259766,0.015942154791259766
2017,17,"Moldova, Republic of",MD,ExtremeEvents,248135.90673828125,0.024813590673828125
2018,18,"Moldova, Republic of",MD,Harvest,8118652.261316637,0.8118652261316637
2018,18,"Moldova, Republic of",MD,Fires,120104.24871826172,0.012010424871826172
2018,18,"Moldova, Republic of",MD,ExtremeEvents,199905.0059814453,0.019990500598144532
2019,19,"Moldova, Republic of",MD,Harvest,7550574.992649692,0.7550574992649692
2019,19,"Moldova, Republic of",MD,Fires,52483.96789550781,0.005248396789550781
2019,19,"Moldova, Republic of",MD,ExtremeEvents,275686.883807014,0.0275686883807014
2020,20,"Moldova, Republic of",MD,Harvest,13588400.849196492,1.3588400849196491
2020,20,"Moldova, Republic of",MD,Fires,130112.15618896484,0.013011215618896484
2020,20,"Moldova, Republic of",MD,ExtremeEvents,360927.748145728,0.0360927748145728
2021,21,"Moldova, Republic of",MD,Harvest,10346040.105320113,1.0346040105320113
2021,21,"Moldova, Republic of",MD,Fires,298917.6428833008,0.02989176428833008
2021,21,"Moldova, Republic of",MD,ExtremeEvents,330063.92100303504,0.033006392100303504
2022,22,"Moldova, Republic of",MD,Harvest,10602296.29932694,1.0602296299326939
2022,22,"Moldova, Republic of",MD,Fires,167380.46196384804,0.016738046196384804
2022,22,"Moldova, Republic of",MD,ExtremeEvents,523545.28619384766,0.05235452861938476
2023,23,"Moldova, Republic of",MD,Harvest,13098277.595400343,1.3098277595400343
2023,23,"Moldova, Republic of",MD,Fires,107624.69750976562,0.010762469750976562
2023,23,"Moldova, Republic of",MD,ExtremeEvents,332820.6403808594,0.03328206403808594
2024,24,"Moldova, Republic of",MD,Harvest,17606937.735242896,1.7606937735242896
2024,24,"Moldova, Republic of",MD,Fires,148569.40121639476,0.014856940121639477
2024,24,"Moldova, Republic of",MD,ExtremeEvents,491889.2556152344,0.04918892556152344
2025,25,"Moldova, Republic of",MD,Harvest,23230874.143862497,2.32308741438625
2025,25,"Moldova, Republic of",MD,Fires,396658.50885009766,0.03966585088500976
2025,25,"Moldova, Republic of",MD,ExtremeEvents,514294.15234375,0.051429415234375
