Year,YearCode,Country,GEECode,name,Area_m2,value
2012,12,Mayotte,MF,Harvest,0,0
2012,12,Mayotte,MF,Fires,0,0
2012,12,Mayotte,MF,ExtremeEvents,225821.4554443359,0.02258214554443359
2013,13,Mayotte,MF,Harvest,0,0
2013,13,Mayotte,MF,Fires,0,0
2013,13,Mayotte,MF,ExtremeEvents,578898.4822074142,0.057889848220741426
2014,14,Mayotte,MF,Harvest,0,0
2014,14,Mayotte,MF,Fires,0,0
2014,14,Mayotte,MF,ExtremeEvents,2268014.48472661,0.226801448472661
2015,15,Mayotte,MF,Harvest,0,0
2015,15,Mayotte,MF,Fires,0,0
2015,15,Mayotte,MF,ExtremeEvents,19182.36590576172,0.001918236590576172
2016,16,Mayotte,MF,Harvest,0,0
2016,16,Mayotte,MF,Fires,0,0
2016,16,Mayotte,MF,ExtremeEvents,156081.06329345703,0.015608106329345704
2017,17,Mayotte,MF,Harvest,0,0
2017,17,Mayotte,MF,Fires,0,0
2017,17,Mayotte,MF,ExtremeEvents,91558.75079345705,0.009155875079345704
2018,18,Mayotte,MF,Harvest,0,0
2018,18,Mayotte,MF,Fires,0,0
2018,18,Mayotte,MF,ExtremeEvents,136901.2391357422,0.013690123913574218
2019,19,Mayotte,MF,Harvest,0,0
2019,19,Mayotte,MF,Fires,0,0
2019,19,Mayotte,MF,ExtremeEvents,19181.60870361328,0.001918160870361328
2020,20,Mayotte,MF,Harvest,0,0
2020,20,Mayotte,MF,Fires,0,0
2020,20,Mayotte,MF,ExtremeEvents,343562.2853443819,0.03435622853443819
2021,21,Mayotte,MF,Harvest,0,0
2021,21,Mayotte,MF,Fires,0,0
2021,21,Mayotte,MF,ExtremeEvents,106379.13127872245,0.010637913127872245
2022,22,Mayotte,MF,Harvest,0,0
2022,22,Mayotte,MF,Fires,0,0
2022,22,Mayotte,MF,ExtremeEvents,234534.04193115231,0.023453404193115233
2023,23,Mayotte,MF,Harvest,0,0
2023,23,Mayotte,MF,Fires,0,0
2023,23,Mayotte,MF,ExtremeEvents,59288.79302978515,0.005928879302978515
2024,24,Mayotte,MF,Harvest,0,0
2024,24,Mayotte,MF,Fires,0,0
2024,24,Mayotte,MF,ExtremeEvents,661944.6343110926,0.06619446343110925
2025,25,Mayotte,MF,Harvest,0,0
2025,25,Mayotte,MF,Fires,0,0
2025,25,Mayotte,MF,ExtremeEvents,591217.349491613,0.0591217349491613
