Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Malawi,MI,Harvest,5978231.631958008,0.5978231631958008
2011,11,Malawi,MI,Fires,23381.14404296875,0.002338114404296875
2011,11,Malawi,MI,ExtremeEvents,429355.77307128906,0.04293557730712891
2012,12,Malawi,MI,Harvest,5965747.799926756,0.5965747799926756
2012,12,Malawi,MI,Fires,10337.667846679688,0.0010337667846679688
2012,12,Malawi,MI,ExtremeEvents,3155536.462097168,0.3155536462097168
2013,13,Malawi,MI,Harvest,5626423.609130859,0.562642360913086
2013,13,Malawi,MI,Fires,9539.276794433594,9.539276794433594e-4
2013,13,Malawi,MI,ExtremeEvents,3197268.0235595703,0.319726802355957
2014,14,Malawi,MI,Harvest,9126481.263854984,0.9126481263854984
2014,14,Malawi,MI,Fires,20701.259887695312,0.0020701259887695314
2014,14,Malawi,MI,ExtremeEvents,10378986.14453125,1.037898614453125
2015,15,Malawi,MI,Harvest,8418493.061645508,0.8418493061645508
2015,15,Malawi,MI,Fires,13953.605041503906,0.0013953605041503907
2015,15,Malawi,MI,ExtremeEvents,2765276.401977539,0.2765276401977539
2016,16,Malawi,MI,Harvest,9116493.183776855,0.9116493183776856
2016,16,Malawi,MI,Fires,25049.46612548828,0.002504946612548828
2016,16,Malawi,MI,ExtremeEvents,4385555.827514648,0.43855558275146483
2017,17,Malawi,MI,Harvest,8829790.347839355,0.8829790347839356
2017,17,Malawi,MI,Fires,57719.89080810547,0.0057719890808105466
2017,17,Malawi,MI,ExtremeEvents,2109690.8764038086,0.21096908764038086
2018,18,Malawi,MI,Harvest,10356827.132873535,1.0356827132873536
2018,18,Malawi,MI,Fires,35392.57287597656,0.0035392572875976563
2018,18,Malawi,MI,ExtremeEvents,2453334.7876586914,0.24533347876586914
2019,19,Malawi,MI,Harvest,6546905.7498168945,0.6546905749816895
2019,19,Malawi,MI,Fires,17308.849853515625,0.0017308849853515625
2019,19,Malawi,MI,ExtremeEvents,3472128.578125,0.3472128578125
2020,20,Malawi,MI,Harvest,7909735.644531252,0.7909735644531252
2020,20,Malawi,MI,Fires,7779.496215820312,7.779496215820312e-4
2020,20,Malawi,MI,ExtremeEvents,5361169.788452148,0.5361169788452148
2021,21,Malawi,MI,Harvest,8747876.35620117,0.874787635620117
2021,21,Malawi,MI,Fires,12106.18231201172,0.001210618231201172
2021,21,Malawi,MI,ExtremeEvents,3936003.7849121094,0.39360037849121093
2022,22,Malawi,MI,Harvest,7268772.791870119,0.726877279187012
2022,22,Malawi,MI,Fires,51079.40173339844,0.005107940173339843
2022,22,Malawi,MI,ExtremeEvents,3576151.7642211914,0.35761517642211915
2023,23,Malawi,MI,Harvest,10651416.432983398,1.0651416432983398
2023,23,Malawi,MI,Fires,39638.53662109375,0.003963853662109375
2023,23,Malawi,MI,ExtremeEvents,15019856.305236816,1.5019856305236816
2024,24,Malawi,MI,Harvest,6484847.181396484,0.6484847181396485
2024,24,Malawi,MI,Fires,23404.930236816406,0.0023404930236816408
2024,24,Malawi,MI,ExtremeEvents,5089839.87298584,0.508983987298584
2025,25,Malawi,MI,Harvest,7618480.045532227,0.7618480045532227
2025,25,Malawi,MI,Fires,28386.058532714844,0.0028386058532714844
2025,25,Malawi,MI,ExtremeEvents,5999022.673278809,0.5999022673278809
