Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Montenegro,MJ,Harvest,3909321.177466778,0.3909321177466778
2011,11,Montenegro,MJ,Fires,932351.085164388,0.09323510851643879
2011,11,Montenegro,MJ,ExtremeEvents,0,0
2012,12,Montenegro,MJ,Harvest,8369263.310262284,0.8369263310262284
2012,12,Montenegro,MJ,Fires,5242572.186684762,0.5242572186684762
2012,12,Montenegro,MJ,ExtremeEvents,0,0
2013,13,Montenegro,MJ,Harvest,18396533.794272505,1.8396533794272505
2013,13,Montenegro,MJ,Fires,7627961.217128859,0.7627961217128859
2013,13,Montenegro,MJ,ExtremeEvents,0,0
2014,14,Montenegro,MJ,Harvest,14117370.856220322,1.4117370856220322
2014,14,Montenegro,MJ,Fires,1470933.415588379,0.14709334155883788
2014,14,Montenegro,MJ,ExtremeEvents,0,0
2015,15,Montenegro,MJ,Harvest,1784579.4455286362,0.17845794455286362
2015,15,Montenegro,MJ,Fires,55099.14056396485,0.005509914056396485
2015,15,Montenegro,MJ,ExtremeEvents,0,0
2016,16,Montenegro,MJ,Harvest,10371731.800834868,1.037173180083487
2016,16,Montenegro,MJ,Fires,977772.0841674804,0.09777720841674803
2016,16,Montenegro,MJ,ExtremeEvents,0,0
2017,17,Montenegro,MJ,Harvest,6110371.938863117,0.6110371938863117
2017,17,Montenegro,MJ,Fires,7365387.590931134,0.7365387590931134
2017,17,Montenegro,MJ,ExtremeEvents,0,0
2018,18,Montenegro,MJ,Harvest,13949030.659101896,1.3949030659101895
2018,18,Montenegro,MJ,Fires,3148489.6765210917,0.3148489676521092
2018,18,Montenegro,MJ,ExtremeEvents,0,0
2019,19,Montenegro,MJ,Harvest,5766321.598809216,0.5766321598809216
2019,19,Montenegro,MJ,Fires,249948.35131835935,0.024994835131835934
2019,19,Montenegro,MJ,ExtremeEvents,0,0
2020,20,Montenegro,MJ,Harvest,8370082.323275937,0.8370082323275937
2020,20,Montenegro,MJ,Fires,2002134.340576172,0.2002134340576172
2020,20,Montenegro,MJ,ExtremeEvents,0,0
2021,21,Montenegro,MJ,Harvest,4169313.6669132,0.41693136669132
2021,21,Montenegro,MJ,Fires,940390.65869140625,0.09403906586914063
2021,21,Montenegro,MJ,ExtremeEvents,0,0
2022,22,Montenegro,MJ,Harvest,10456889.740928022,1.0456889740928021
2022,22,Montenegro,MJ,Fires,1560006.8298572018,0.15600068298572017
2022,22,Montenegro,MJ,ExtremeEvents,0,0
2023,23,Montenegro,MJ,Harvest,16879415.36257396,1.687941536257396
2023,23,Montenegro,MJ,Fires,1155415.0330719592,0.11554150330719591
2023,23,Montenegro,MJ,ExtremeEvents,0,0
2024,24,Montenegro,MJ,Harvest,6657610.737723317,0.6657610737723317
2024,24,Montenegro,MJ,Fires,293076.9534000172,0.029307695340001723
2024,24,Montenegro,MJ,ExtremeEvents,0,0
2025,25,Montenegro,MJ,Harvest,6111978.888387524,0.6111978888387524
2025,25,Montenegro,MJ,Fires,1836372.7775390623,0.18363727775390623
2025,25,Montenegro,MJ,ExtremeEvents,0,0
