Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,The former Yugoslav Republic of Macedonia,MK,Harvest,20896009.56443661,2.089600956443661
2011,11,The former Yugoslav Republic of Macedonia,MK,Fires,1548684.1283485563,0.15486841283485564
2011,11,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2012,12,The former Yugoslav Republic of Macedonia,MK,Harvest,25055243.28142401,2.5055243281424007
2012,12,The former Yugoslav Republic of Macedonia,MK,Fires,7238069.205479042,0.7238069205479042
2012,12,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2013,13,The former Yugoslav Republic of Macedonia,MK,Harvest,10719326.967442414,1.0719326967442413
2013,13,The former Yugoslav Republic of Macedonia,MK,Fires,2714291.8410668466,0.27142918410668465
2013,13,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2014,14,The former Yugoslav Republic of Macedonia,MK,Harvest,18108636.107108563,1.8108636107108562
2014,14,The former Yugoslav Republic of Macedonia,MK,Fires,1473197.6448364258,0.1473197644836426
2014,14,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2015,15,The former Yugoslav Republic of Macedonia,MK,Harvest,8061810.670349121,0.8061810670349121
2015,15,The former Yugoslav Republic of Macedonia,MK,Fires,297570.5538330078,0.02975705538330078
2015,15,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2016,16,The former Yugoslav Republic of Macedonia,MK,Harvest,15483278.927167825,1.5483278927167825
2016,16,The former Yugoslav Republic of Macedonia,MK,Fires,1024120.6057739258,0.10241206057739258
2016,16,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2017,17,The former Yugoslav Republic of Macedonia,MK,Harvest,9902123.943538172,0.9902123943538172
2017,17,The former Yugoslav Republic of Macedonia,MK,Fires,3590057.4677734375,0.35900574677734376
2017,17,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2018,18,The former Yugoslav Republic of Macedonia,MK,Harvest,14635096.856703334,1.4635096856703333
2018,18,The former Yugoslav Republic of Macedonia,MK,Fires,3245723.142150879,0.32457231421508786
2018,18,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2019,19,The former Yugoslav Republic of Macedonia,MK,Harvest,17959748.261698164,1.7959748261698163
2019,19,The former Yugoslav Republic of Macedonia,MK,Fires,2299858.146484375,0.2299858146484375
2019,19,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2020,20,The former Yugoslav Republic of Macedonia,MK,Harvest,18950858.948998068,1.8950858948998068
2020,20,The former Yugoslav Republic of Macedonia,MK,Fires,1938879.797910204,0.1938879797910204
2020,20,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2021,21,The former Yugoslav Republic of Macedonia,MK,Harvest,13226533.94062955,1.322653394062955
2021,21,The former Yugoslav Republic of Macedonia,MK,Fires,13346738.811950684,1.3346738811950685
2021,21,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2022,22,The former Yugoslav Republic of Macedonia,MK,Harvest,20409827.107285924,2.0409827107285925
2022,22,The former Yugoslav Republic of Macedonia,MK,Fires,5989161.71509172,0.598916171509172
2022,22,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2023,23,The former Yugoslav Republic of Macedonia,MK,Harvest,29575844.48084238,2.9575844480842384
2023,23,The former Yugoslav Republic of Macedonia,MK,Fires,476711.1589357862,0.04767111589357862
2023,23,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2024,24,The former Yugoslav Republic of Macedonia,MK,Harvest,15215723.847547349,1.5215723847547349
2024,24,The former Yugoslav Republic of Macedonia,MK,Fires,18866555.361605536,1.8866555361605537
2024,24,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
2025,25,The former Yugoslav Republic of Macedonia,MK,Harvest,16605857.40426241,1.660585740426241
2025,25,The former Yugoslav Republic of Macedonia,MK,Fires,10995299.16052246,1.0995299160522458
2025,25,The former Yugoslav Republic of Macedonia,MK,ExtremeEvents,0,0
