Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Maldives,MV,Harvest,0,0
2011,11,Maldives,MV,Fires,0,0
2011,11,Maldives,MV,ExtremeEvents,0,0
2012,12,Maldives,MV,Harvest,0,0
2012,12,Maldives,MV,Fires,0,0
2012,12,Maldives,MV,ExtremeEvents,0,0
2013,13,Maldives,MV,Harvest,1448.7270565257354,1.4487270565257353e-4
2013,13,Maldives,MV,Fires,0,0
2013,13,Maldives,MV,ExtremeEvents,0,0
2014,14,Maldives,MV,Harvest,581.4960413315717,5.814960413315717e-5
2014,14,Maldives,MV,Fires,0,0
2014,14,Maldives,MV,ExtremeEvents,0,0
2023,23,Maldives,MV,Harvest,14207.246347943474,0.0014207246347943475
2023,23,Maldives,MV,Fires,0,0
2023,23,Maldives,MV,ExtremeEvents,0,0
2024,24,Maldives,MV,Harvest,13468.864918907018,0.0013468864918907018
2024,24,Maldives,MV,Fires,0,0
2024,24,Maldives,MV,ExtremeEvents,0,0
