Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Mexico,MX,Harvest,75965941.5311521,7.59659415311521
2011,11,Mexico,MX,Fires,12319498.287765443,1.2319498287765442
2011,11,Mexico,MX,ExtremeEvents,16698576.88232422,1.669857688232422
2012,12,Mexico,MX,Harvest,92329434.66080034,9.232943466080034
2012,12,Mexico,MX,Fires,11204004.94474595,1.120400494474595
2012,12,Mexico,MX,ExtremeEvents,21207964.54894134,2.120796454894134
2013,13,Mexico,MX,Harvest,122202224.7010211,12.22022247010211
2013,13,Mexico,MX,Fires,12178564.0013995,1.2178564001399501
2013,13,Mexico,MX,ExtremeEvents,25707656.194151875,2.5707656194151873
2014,14,Mexico,MX,Harvest,94749335.25325951,9.474933525325952
2014,14,Mexico,MX,Fires,4643237.693847656,0.4643237693847656
2014,14,Mexico,MX,ExtremeEvents,29782862.22016817,2.978286222016817
2015,15,Mexico,MX,Harvest,106632402.2034031,10.66324022034031
2015,15,Mexico,MX,Fires,6089475.572339106,0.6089475572339106
2015,15,Mexico,MX,ExtremeEvents,30850296.09018196,3.0850296090181963
2016,16,Mexico,MX,Harvest,134761743.81806257,13.476174381806258
2016,16,Mexico,MX,Fires,13045500.980012065,1.3045500980012066
2016,16,Mexico,MX,ExtremeEvents,55953491.66281285,5.595349166281285
2017,17,Mexico,MX,Harvest,147813257.83883536,14.781325783883537
2017,17,Mexico,MX,Fires,18147462.90148351,1.8147462901483509
2017,17,Mexico,MX,ExtremeEvents,57975932.524809234,5.797593252480923
2018,18,Mexico,MX,Harvest,132329293.6189202,13.23292936189202
2018,18,Mexico,MX,Fires,25691655.070463773,2.5691655070463773
2018,18,Mexico,MX,ExtremeEvents,44134228.975046195,4.41342289750462
2019,19,Mexico,MX,Harvest,133299827.50878787,13.329982750878788
2019,19,Mexico,MX,Fires,27301777.36963082,2.730177736963082
2019,19,Mexico,MX,ExtremeEvents,55818226.83873075,5.581822683873075
2020,20,Mexico,MX,Harvest,107907628.4969693,10.79076284969693
2020,20,Mexico,MX,Fires,34044027.71989459,3.4044027719894587
2020,20,Mexico,MX,ExtremeEvents,37844097.82759483,3.784409782759483
2021,21,Mexico,MX,Harvest,75699350.59749275,7.569935059749276
2021,21,Mexico,MX,Fires,9818339.98239004,0.9818339982390041
2021,21,Mexico,MX,ExtremeEvents,18918953.133605957,1.8918953133605958
2022,22,Mexico,MX,Harvest,81563336.2847601,8.15633362847601
2022,22,Mexico,MX,Fires,10117748.513671877,1.0117748513671876
2022,22,Mexico,MX,ExtremeEvents,16327036.276489258,1.6327036276489257
2023,23,Mexico,MX,Harvest,95000020.05737928,9.500002005737928
2023,23,Mexico,MX,Fires,24772109.016318887,2.4772109016318886
2023,23,Mexico,MX,ExtremeEvents,25576049.250061035,2.5576049250061037
2024,24,Mexico,MX,Harvest,75515210.82492514,7.551521082492514
2024,24,Mexico,MX,Fires,52148514.03557704,5.214851403557704
2024,24,Mexico,MX,ExtremeEvents,31928643.62509574,3.192864362509574
2025,25,Mexico,MX,Harvest,75453312.89968501,7.545331289968501
2025,25,Mexico,MX,Fires,15340085.144097302,1.5340085144097302
2025,25,Mexico,MX,ExtremeEvents,19475961.760498047,1.9475961760498046
