Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Malaysia,MY,Harvest,170500875.03876296,17.050087503876295
2011,11,Malaysia,MY,Fires,2114162.7699137367,0.21141627699137366
2011,11,Malaysia,MY,ExtremeEvents,226218144.3482692,22.62181443482692
2012,12,Malaysia,MY,Harvest,341599716.5179826,34.15997165179826
2012,12,Malaysia,MY,Fires,4650914.594864191,0.46509145948641906
2012,12,Malaysia,MY,ExtremeEvents,294537375.93911326,29.453737593911328
2013,13,Malaysia,MY,Harvest,157215132.66774565,15.721513266774565
2013,13,Malaysia,MY,Fires,1920214.521080107,0.1920214521080107
2013,13,Malaysia,MY,ExtremeEvents,97794612.57876624,9.779461257876624
2014,14,Malaysia,MY,Harvest,420259582.9462795,42.025958294627955
2014,14,Malaysia,MY,Fires,6550615.351439711,0.655061535143971
2014,14,Malaysia,MY,ExtremeEvents,287088068.8377296,28.708806883772958
2015,15,Malaysia,MY,Harvest,358796357.4846692,35.879635748466924
2015,15,Malaysia,MY,Fires,4768522.862034218,0.47685228620342185
2015,15,Malaysia,MY,ExtremeEvents,162093044.55111012,16.209304455111013
2016,16,Malaysia,MY,Harvest,441453339.44387215,44.14533394438722
2016,16,Malaysia,MY,Fires,6551852.4249368105,0.655185242493681
2016,16,Malaysia,MY,ExtremeEvents,228726485.017626,22.872648501762598
2017,17,Malaysia,MY,Harvest,401667545.22001016,40.166754522001014
2017,17,Malaysia,MY,Fires,3714162.1297684014,0.37141621297684013
2017,17,Malaysia,MY,ExtremeEvents,228851178.94462076,22.885117894462077
2018,18,Malaysia,MY,Harvest,379958644.6028043,37.99586446028043
2018,18,Malaysia,MY,Fires,3197178.520378083,0.3197178520378083
2018,18,Malaysia,MY,ExtremeEvents,294156429.2474363,29.41564292474363
2019,19,Malaysia,MY,Harvest,307050428.41811013,30.705042841811014
2019,19,Malaysia,MY,Fires,4349066.142541743,0.43490661425417426
2019,19,Malaysia,MY,ExtremeEvents,213958048.33321512,21.395804833321513
2020,20,Malaysia,MY,Harvest,183521176.13926595,18.352117613926595
2020,20,Malaysia,MY,Fires,2949965.693696624,0.2949965693696624
2020,20,Malaysia,MY,ExtremeEvents,82751204.4472161,8.27512044472161
2021,21,Malaysia,MY,Harvest,219069804.71474466,21.906980471474466
2021,21,Malaysia,MY,Fires,2978567.825928931,0.2978567825928931
2021,21,Malaysia,MY,ExtremeEvents,89800850.52925763,8.980085052925762
2022,22,Malaysia,MY,Harvest,207401272.74490055,20.740127274490057
2022,22,Malaysia,MY,Fires,2401946.5151367188,0.24019465151367186
2022,22,Malaysia,MY,ExtremeEvents,111667892.87315938,11.166789287315938
2023,23,Malaysia,MY,Harvest,240202822.54956365,24.020282254956363
2023,23,Malaysia,MY,Fires,2598141.896328077,0.2598141896328077
2023,23,Malaysia,MY,ExtremeEvents,132228540.43378092,13.222854043378092
2024,24,Malaysia,MY,Harvest,206661625.53303793,20.666162553303792
2024,24,Malaysia,MY,Fires,3143845.507446289,0.3143845507446289
2024,24,Malaysia,MY,ExtremeEvents,121985172.60154,12.198517260154
2025,25,Malaysia,MY,Harvest,218376072.91482258,21.837607291482257
2025,25,Malaysia,MY,Fires,3145680.635070801,0.31456806350708005
2025,25,Malaysia,MY,ExtremeEvents,109459027.27047382,10.945902727047383
