Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Mozambique,MZ,Harvest,6179323.068671253,0.6179323068671253
2011,11,Mozambique,MZ,Fires,16877.976684570312,0.0016877976684570313
2011,11,Mozambique,MZ,ExtremeEvents,5002270.724868834,0.5002270724868834
2012,12,Mozambique,MZ,Harvest,4429193.990260225,0.44291939902602245
2012,12,Mozambique,MZ,Fires,27844.776977539062,0.0027844776977539063
2012,12,Mozambique,MZ,ExtremeEvents,5257735.414860744,0.5257735414860744
2013,13,Mozambique,MZ,Harvest,16408684.754953425,1.6408684754953424
2013,13,Mozambique,MZ,Fires,39558.79016113281,0.0039558790161132815
2013,13,Mozambique,MZ,ExtremeEvents,12051773.694594678,1.2051773694594679
2014,14,Mozambique,MZ,Harvest,9368832.911505248,0.9368832911505248
2014,14,Mozambique,MZ,Fires,19118.073486328125,0.0019118073486328125
2014,14,Mozambique,MZ,ExtremeEvents,4581750.08831452,0.458175008831452
2015,15,Mozambique,MZ,Harvest,8000627.136557905,0.8000627136557905
2015,15,Mozambique,MZ,Fires,88759.90399169922,0.008875990399169921
2015,15,Mozambique,MZ,ExtremeEvents,5667262.831382124,0.5667262831382124
2016,16,Mozambique,MZ,Harvest,12242006.52930716,1.2242006529307161
2016,16,Mozambique,MZ,Fires,98587.31353759766,0.009858731353759765
2016,16,Mozambique,MZ,ExtremeEvents,7662105.769197352,0.7662105769197353
2017,17,Mozambique,MZ,Harvest,19447147.09247927,1.9447147092479269
2017,17,Mozambique,MZ,Fires,56041.04559326172,0.005604104559326172
2017,17,Mozambique,MZ,ExtremeEvents,13241873.265078556,1.3241873265078556
2018,18,Mozambique,MZ,Harvest,4118797.7103908164,0.41187977103908163
2018,18,Mozambique,MZ,Fires,26356.174072265625,0.0026356174072265626
2018,18,Mozambique,MZ,ExtremeEvents,3672132.141480689,0.3672132141480689
2019,19,Mozambique,MZ,Harvest,9782460.925019385,0.9782460925019385
2019,19,Mozambique,MZ,Fires,59997.04236294616,0.005999704236294616
2019,19,Mozambique,MZ,ExtremeEvents,9592982.683076749,0.9592982683076748
2020,20,Mozambique,MZ,Harvest,3598537.1946310624,0.35985371946310624
2020,20,Mozambique,MZ,Fires,20061.291564941406,0.0020061291564941407
2020,20,Mozambique,MZ,ExtremeEvents,5358325.9018121455,0.5358325901812145
2021,21,Mozambique,MZ,Harvest,4999350.7674668245,0.49993507674668247
2021,21,Mozambique,MZ,Fires,54037.96179199219,0.005403796179199219
2021,21,Mozambique,MZ,ExtremeEvents,3950356.594641592,0.3950356594641592
2022,22,Mozambique,MZ,Harvest,5407503.218073108,0.5407503218073109
2022,22,Mozambique,MZ,Fires,126464.38482666016,0.012646438482666016
2022,22,Mozambique,MZ,ExtremeEvents,2675202.6906022616,0.26752026906022613
2023,23,Mozambique,MZ,Harvest,8425023.74487233,0.842502374487233
2023,23,Mozambique,MZ,Fires,315240.7165527344,0.03152407165527344
2023,23,Mozambique,MZ,ExtremeEvents,3614640.3671875,0.36146403671875
2024,24,Mozambique,MZ,Harvest,8257962.162656061,0.8257962162656062
2024,24,Mozambique,MZ,Fires,152160.30322265625,0.015216030322265626
2024,24,Mozambique,MZ,ExtremeEvents,10595999.800269272,1.0595999800269271
2025,25,Mozambique,MZ,Harvest,10486351.401572796,1.0486351401572795
2025,25,Mozambique,MZ,Fires,141247.2448538986,0.014124724485389858
2025,25,Mozambique,MZ,ExtremeEvents,7238250.291545315,0.7238250291545315
