Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,New Caledonia,NC,Harvest,300401.93243408203,0.030040193243408203
2011,11,New Caledonia,NC,Fires,40808.209716796875,0.004080820971679688
2011,11,New Caledonia,NC,ExtremeEvents,0,0
2012,12,New Caledonia,NC,Harvest,142075.99700927734,0.014207599700927734
2012,12,New Caledonia,NC,Fires,19095.39453125,0.001909539453125
2012,12,New Caledonia,NC,ExtremeEvents,0,0
2013,13,New Caledonia,NC,Harvest,820968.7305908202,0.08209687305908202
2013,13,New Caledonia,NC,Fires,200682.0142211914,0.02006820142211914
2013,13,New Caledonia,NC,ExtremeEvents,0,0
2014,14,New Caledonia,NC,Harvest,610600.8765869141,0.061060087658691406
2014,14,New Caledonia,NC,Fires,42502.91076660156,0.004250291076660156
2014,14,New Caledonia,NC,ExtremeEvents,0,0
2015,15,New Caledonia,NC,Harvest,78338.00817871094,0.007833800817871094
2015,15,New Caledonia,NC,Fires,1661.9622802734375,1.6619622802734374e-4
2015,15,New Caledonia,NC,ExtremeEvents,0,0
2016,16,New Caledonia,NC,Harvest,121380.49841308594,0.012138049841308594
2016,16,New Caledonia,NC,Fires,423856.3923339844,0.042385639233398435
2016,16,New Caledonia,NC,ExtremeEvents,0,0
2017,17,New Caledonia,NC,Harvest,234921.40850830078,0.023492140850830078
2017,17,New Caledonia,NC,Fires,219339.18041992188,0.021933918041992188
2017,17,New Caledonia,NC,ExtremeEvents,0,0
2018,18,New Caledonia,NC,Harvest,374687.26220703125,0.03746872622070312
2018,18,New Caledonia,NC,Fires,212774.4965209961,0.02127744965209961
2018,18,New Caledonia,NC,ExtremeEvents,0,0
2019,19,New Caledonia,NC,Harvest,354464.51910400396,0.0354464519104004
2019,19,New Caledonia,NC,Fires,38480.950134277344,0.0038480950134277343
2019,19,New Caledonia,NC,ExtremeEvents,0,0
2020,20,New Caledonia,NC,Harvest,266338.66528583603,0.026633866528583603
2020,20,New Caledonia,NC,Fires,160417.83319091797,0.0160417833190918
2020,20,New Caledonia,NC,ExtremeEvents,0,0
2021,21,New Caledonia,NC,Harvest,251597.2208251953,0.025159722082519532
2021,21,New Caledonia,NC,Fires,62754.632263183594,0.006275463226318359
2021,21,New Caledonia,NC,ExtremeEvents,0,0
2022,22,New Caledonia,NC,Harvest,179735.21728515625,0.017973521728515626
2022,22,New Caledonia,NC,Fires,14215.562438964844,0.0014215562438964844
2022,22,New Caledonia,NC,ExtremeEvents,0,0
2023,23,New Caledonia,NC,Harvest,433615.41035730694,0.04336154103573069
2023,23,New Caledonia,NC,Fires,545071.2457275391,0.054507124572753904
2023,23,New Caledonia,NC,ExtremeEvents,0,0
2024,24,New Caledonia,NC,Harvest,122533.17932128909,0.012253317932128908
2024,24,New Caledonia,NC,Fires,238557.0953979492,0.02385570953979492
2024,24,New Caledonia,NC,ExtremeEvents,0,0
2025,25,New Caledonia,NC,Harvest,181481.18103027344,0.018148118103027345
2025,25,New Caledonia,NC,Fires,346928.4067993164,0.03469284067993164
2025,25,New Caledonia,NC,ExtremeEvents,0,0
