Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Niue,NE,Harvest,0,0
2011,11,Niue,NE,Fires,0,0
2011,11,Niue,NE,ExtremeEvents,0,0
2012,12,Niue,NE,Harvest,0,0
2012,12,Niue,NE,Fires,0,0
2012,12,Niue,NE,ExtremeEvents,0,0
2013,13,Niue,NE,Harvest,0,0
2013,13,Niue,NE,Fires,0,0
2013,13,Niue,NE,ExtremeEvents,0,0
2014,14,Niue,NE,Harvest,0,0
2014,14,Niue,NE,Fires,0,0
2014,14,Niue,NE,ExtremeEvents,0,0
2015,15,Niue,NE,Harvest,0,0
2015,15,Niue,NE,Fires,0,0
2015,15,Niue,NE,ExtremeEvents,0,0
2016,16,Niue,NE,Harvest,0,0
2016,16,Niue,NE,Fires,0,0
2016,16,Niue,NE,ExtremeEvents,0,0
2017,17,Niue,NE,Harvest,0,0
2017,17,Niue,NE,Fires,0,0
2017,17,Niue,NE,ExtremeEvents,0,0
2018,18,Niue,NE,Harvest,0,0
2018,18,Niue,NE,Fires,0,0
2018,18,Niue,NE,ExtremeEvents,0,0
2019,19,Niue,NE,Harvest,0,0
2019,19,Niue,NE,Fires,0,0
2019,19,Niue,NE,ExtremeEvents,0,0
2020,20,Niue,NE,Harvest,0,0
2020,20,Niue,NE,Fires,0,0
2020,20,Niue,NE,ExtremeEvents,0,0
2021,21,Niue,NE,Harvest,0,0
2021,21,Niue,NE,Fires,0,0
2021,21,Niue,NE,ExtremeEvents,0,0
2022,22,Niue,NE,Harvest,0,0
2022,22,Niue,NE,Fires,0,0
2022,22,Niue,NE,ExtremeEvents,0,0
2023,23,Niue,NE,Harvest,0,0
2023,23,Niue,NE,Fires,0,0
2023,23,Niue,NE,ExtremeEvents,0,0
2024,24,Niue,NE,Harvest,0,0
2024,24,Niue,NE,Fires,0,0
2024,24,Niue,NE,ExtremeEvents,0,0
2025,25,Niue,NE,Harvest,0,0
2025,25,Niue,NE,Fires,0,0
2025,25,Niue,NE,ExtremeEvents,0,0
