Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Norfolk Island,NF,Harvest,0,0
2011,11,Norfolk Island,NF,Fires,0,0
2011,11,Norfolk Island,NF,ExtremeEvents,0,0
2012,12,Norfolk Island,NF,Harvest,0,0
2012,12,Norfolk Island,NF,Fires,0,0
2012,12,Norfolk Island,NF,ExtremeEvents,0,0
2013,13,Norfolk Island,NF,Harvest,0,0
2013,13,Norfolk Island,NF,Fires,0,0
2013,13,Norfolk Island,NF,ExtremeEvents,0,0
2014,14,Norfolk Island,NF,Harvest,0,0
2014,14,Norfolk Island,NF,Fires,0,0
2014,14,Norfolk Island,NF,ExtremeEvents,0,0
2015,15,Norfolk Island,NF,Harvest,0,0
2015,15,Norfolk Island,NF,Fires,0,0
2015,15,Norfolk Island,NF,ExtremeEvents,0,0
2016,16,Norfolk Island,NF,Harvest,0,0
2016,16,Norfolk Island,NF,Fires,0,0
2016,16,Norfolk Island,NF,ExtremeEvents,0,0
2017,17,Norfolk Island,NF,Harvest,0,0
2017,17,Norfolk Island,NF,Fires,0,0
2017,17,Norfolk Island,NF,ExtremeEvents,0,0
2018,18,Norfolk Island,NF,Harvest,0,0
2018,18,Norfolk Island,NF,Fires,0,0
2018,18,Norfolk Island,NF,ExtremeEvents,0,0
2019,19,Norfolk Island,NF,Harvest,0,0
2019,19,Norfolk Island,NF,Fires,0,0
2019,19,Norfolk Island,NF,ExtremeEvents,0,0
2020,20,Norfolk Island,NF,Harvest,0,0
2020,20,Norfolk Island,NF,Fires,0,0
2020,20,Norfolk Island,NF,ExtremeEvents,0,0
2021,21,Norfolk Island,NF,Harvest,0,0
2021,21,Norfolk Island,NF,Fires,0,0
2021,21,Norfolk Island,NF,ExtremeEvents,0,0
2022,22,Norfolk Island,NF,Harvest,0,0
2022,22,Norfolk Island,NF,Fires,0,0
2022,22,Norfolk Island,NF,ExtremeEvents,0,0
2023,23,Norfolk Island,NF,Harvest,0,0
2023,23,Norfolk Island,NF,Fires,0,0
2023,23,Norfolk Island,NF,ExtremeEvents,0,0
2024,24,Norfolk Island,NF,Harvest,0,0
2024,24,Norfolk Island,NF,Fires,0,0
2024,24,Norfolk Island,NF,ExtremeEvents,0,0
2025,25,Norfolk Island,NF,Harvest,0,0
2025,25,Norfolk Island,NF,Fires,0,0
2025,25,Norfolk Island,NF,ExtremeEvents,0,0
