Year,YearCode,Country,GEECode,name,Area_m2,value
2013,13,Niger,NG,Harvest,0,0
2013,13,Niger,NG,Fires,0,0
2013,13,Niger,NG,ExtremeEvents,0,0
2014,14,Niger,NG,Harvest,0,0
2014,14,Niger,NG,Fires,0,0
2014,14,Niger,NG,ExtremeEvents,0,0
2021,21,Niger,NG,Harvest,0,0
2021,21,Niger,NG,Fires,0,0
2021,21,Niger,NG,ExtremeEvents,0,0
2012,12,Niger,NG,Harvest,0,0
2012,12,Niger,NG,Fires,0,0
2012,12,Niger,NG,ExtremeEvents,0,0
2015,15,Niger,NG,Harvest,0,0
2015,15,Niger,NG,Fires,0,0
2015,15,Niger,NG,ExtremeEvents,0,0
2017,17,Niger,NG,Harvest,0,0
2017,17,Niger,NG,Fires,0,0
2017,17,Niger,NG,ExtremeEvents,0,0
2020,20,Niger,NG,Harvest,0,0
2020,20,Niger,NG,Fires,0,0
2020,20,Niger,NG,ExtremeEvents,0,0
