Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Vanuatu,NH,Harvest,0,0
2011,11,Vanuatu,NH,Fires,0,0
2011,11,Vanuatu,NH,ExtremeEvents,0,0
2012,12,Vanuatu,NH,Harvest,0,0
2012,12,Vanuatu,NH,Fires,0,0
2012,12,Vanuatu,NH,ExtremeEvents,0,0
2013,13,Vanuatu,NH,Harvest,0,0
2013,13,Vanuatu,NH,Fires,0,0
2013,13,Vanuatu,NH,ExtremeEvents,0,0
2014,14,Vanuatu,NH,Harvest,0,0
2014,14,Vanuatu,NH,Fires,0,0
2014,14,Vanuatu,NH,ExtremeEvents,0,0
2015,15,Vanuatu,NH,Harvest,0,0
2015,15,Vanuatu,NH,Fires,0,0
2015,15,Vanuatu,NH,ExtremeEvents,0,0
2016,16,Vanuatu,NH,Harvest,0,0
2016,16,Vanuatu,NH,Fires,0,0
2016,16,Vanuatu,NH,ExtremeEvents,0,0
2017,17,Vanuatu,NH,Harvest,0,0
2017,17,Vanuatu,NH,Fires,0,0
2017,17,Vanuatu,NH,ExtremeEvents,0,0
2018,18,Vanuatu,NH,Harvest,0,0
2018,18,Vanuatu,NH,Fires,0,0
2018,18,Vanuatu,NH,ExtremeEvents,0,0
2019,19,Vanuatu,NH,Harvest,0,0
2019,19,Vanuatu,NH,Fires,0,0
2019,19,Vanuatu,NH,ExtremeEvents,0,0
2020,20,Vanuatu,NH,Harvest,0,0
2020,20,Vanuatu,NH,Fires,0,0
2020,20,Vanuatu,NH,ExtremeEvents,0,0
2021,21,Vanuatu,NH,Harvest,0,0
2021,21,Vanuatu,NH,Fires,0,0
2021,21,Vanuatu,NH,ExtremeEvents,0,0
2022,22,Vanuatu,NH,Harvest,0,0
2022,22,Vanuatu,NH,Fires,0,0
2022,22,Vanuatu,NH,ExtremeEvents,0,0
2023,23,Vanuatu,NH,Harvest,0,0
2023,23,Vanuatu,NH,Fires,0,0
2023,23,Vanuatu,NH,ExtremeEvents,0,0
2024,24,Vanuatu,NH,Harvest,0,0
2024,24,Vanuatu,NH,Fires,0,0
2024,24,Vanuatu,NH,ExtremeEvents,0,0
2025,25,Vanuatu,NH,Harvest,0,0
2025,25,Vanuatu,NH,Fires,0,0
2025,25,Vanuatu,NH,ExtremeEvents,0,0
