Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Nepal,NP,Harvest,21513422.305525478,2.151342230552548
2011,11,Nepal,NP,Fires,2100654.813081629,0.2100654813081629
2011,11,Nepal,NP,ExtremeEvents,0,0
2012,12,Nepal,NP,Harvest,34532818.22534491,3.4532818225344912
2012,12,Nepal,NP,Fires,6274639.151691991,0.6274639151691991
2012,12,Nepal,NP,ExtremeEvents,0,0
2013,13,Nepal,NP,Harvest,6236878.041748047,0.6236878041748047
2013,13,Nepal,NP,Fires,142815.80786132812,0.014281580786132812
2013,13,Nepal,NP,ExtremeEvents,0,0
2014,14,Nepal,NP,Harvest,8179502.779174805,0.8179502779174804
2014,14,Nepal,NP,Fires,504951.860534668,0.050495186053466805
2014,14,Nepal,NP,ExtremeEvents,0,0
2015,15,Nepal,NP,Harvest,4571123.166604435,0.4571123166604435
2015,15,Nepal,NP,Fires,93433.1494140625,0.00934331494140625
2015,15,Nepal,NP,ExtremeEvents,0,0
2016,16,Nepal,NP,Harvest,6613816.3545319205,0.6613816354531921
2016,16,Nepal,NP,Fires,533232.1640014648,0.053323216400146485
2016,16,Nepal,NP,ExtremeEvents,0,0
2017,17,Nepal,NP,Harvest,15041053.36419295,1.504105336419295
2017,17,Nepal,NP,Fires,4144675.3146453258,0.4144675314645326
2017,17,Nepal,NP,ExtremeEvents,0,0
2018,18,Nepal,NP,Harvest,12662894.134770174,1.2662894134770173
2018,18,Nepal,NP,Fires,805601.9400634766,0.08056019400634766
2018,18,Nepal,NP,ExtremeEvents,0,0
2019,19,Nepal,NP,Harvest,16389397.027526855,1.6389397027526855
2019,19,Nepal,NP,Fires,474014.758972168,0.0474014758972168
2019,19,Nepal,NP,ExtremeEvents,0,0
2020,20,Nepal,NP,Harvest,17665740.429626465,1.7665740429626464
2020,20,Nepal,NP,Fires,342757.2341308594,0.034275723413085935
2020,20,Nepal,NP,ExtremeEvents,0,0
2021,21,Nepal,NP,Harvest,21044127.738217823,2.104412773821782
2021,21,Nepal,NP,Fires,1628994.1919555664,0.16289941919555664
2021,21,Nepal,NP,ExtremeEvents,0,0
2022,22,Nepal,NP,Harvest,15384035.33569336,1.538403533569336
2022,22,Nepal,NP,Fires,703714.0731811523,0.07037140731811524
2022,22,Nepal,NP,ExtremeEvents,0,0
2023,23,Nepal,NP,Harvest,16157289.690734863,1.6157289690734864
2023,23,Nepal,NP,Fires,1289134.954040527,0.12891349540405272
2023,23,Nepal,NP,ExtremeEvents,0,0
2024,24,Nepal,NP,Harvest,16972408.802124027,1.6972408802124028
2024,24,Nepal,NP,Fires,3337573.0935668945,0.33375730935668946
2024,24,Nepal,NP,ExtremeEvents,0,0
2025,25,Nepal,NP,Harvest,19935396.65528014,1.993539665528014
2025,25,Nepal,NP,Fires,1612368.764306162,0.1612368764306162
2025,25,Nepal,NP,ExtremeEvents,0,0
