Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Suriname,NS,Harvest,0,0
2011,11,Suriname,NS,Fires,0,0
2011,11,Suriname,NS,ExtremeEvents,0,0
2012,12,Suriname,NS,Harvest,0,0
2012,12,Suriname,NS,Fires,0,0
2012,12,Suriname,NS,ExtremeEvents,0,0
2013,13,Suriname,NS,Harvest,0,0
2013,13,Suriname,NS,Fires,0,0
2013,13,Suriname,NS,ExtremeEvents,0,0
2014,14,Suriname,NS,Harvest,0,0
2014,14,Suriname,NS,Fires,0,0
2014,14,Suriname,NS,ExtremeEvents,0,0
2015,15,Suriname,NS,Harvest,0,0
2015,15,Suriname,NS,Fires,0,0
2015,15,Suriname,NS,ExtremeEvents,0,0
2016,16,Suriname,NS,Harvest,0,0
2016,16,Suriname,NS,Fires,0,0
2016,16,Suriname,NS,ExtremeEvents,0,0
2017,17,Suriname,NS,Harvest,0,0
2017,17,Suriname,NS,Fires,0,0
2017,17,Suriname,NS,ExtremeEvents,0,0
2018,18,Suriname,NS,Harvest,0,0
2018,18,Suriname,NS,Fires,0,0
2018,18,Suriname,NS,ExtremeEvents,0,0
2019,19,Suriname,NS,Harvest,0,0
2019,19,Suriname,NS,Fires,0,0
2019,19,Suriname,NS,ExtremeEvents,0,0
2020,20,Suriname,NS,Harvest,0,0
2020,20,Suriname,NS,Fires,0,0
2020,20,Suriname,NS,ExtremeEvents,0,0
2021,21,Suriname,NS,Harvest,0,0
2021,21,Suriname,NS,Fires,0,0
2021,21,Suriname,NS,ExtremeEvents,0,0
2022,22,Suriname,NS,Harvest,0,0
2022,22,Suriname,NS,Fires,0,0
2022,22,Suriname,NS,ExtremeEvents,0,0
2023,23,Suriname,NS,Harvest,0,0
2023,23,Suriname,NS,Fires,0,0
2023,23,Suriname,NS,ExtremeEvents,0,0
2024,24,Suriname,NS,Harvest,0,0
2024,24,Suriname,NS,Fires,0,0
2024,24,Suriname,NS,ExtremeEvents,0,0
2025,25,Suriname,NS,Harvest,0,0
2025,25,Suriname,NS,Fires,0,0
2025,25,Suriname,NS,ExtremeEvents,0,0
