Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Nicaragua,NU,Harvest,155662.455078125,0.0155662455078125
2011,11,Nicaragua,NU,Fires,2621.5206909179688,2.621520690917969e-4
2011,11,Nicaragua,NU,ExtremeEvents,0,0
2012,12,Nicaragua,NU,Harvest,3147757.6655273438,0.31477576655273437
2012,12,Nicaragua,NU,Fires,15721.846740722656,0.0015721846740722656
2012,12,Nicaragua,NU,ExtremeEvents,13479.89889753753,0.001347989889753753
2013,13,Nicaragua,NU,Harvest,1509080.9716796875,0.15090809716796874
2013,13,Nicaragua,NU,Fires,66419.0619506836,0.006641906195068359
2013,13,Nicaragua,NU,ExtremeEvents,7904.0382080078125,7.904038208007813e-4
2014,14,Nicaragua,NU,Harvest,2197731.8947143555,0.21977318947143554
2014,14,Nicaragua,NU,Fires,130182.3452758789,0.01301823452758789
2014,14,Nicaragua,NU,ExtremeEvents,2634.6814575195312,2.6346814575195314e-4
2015,15,Nicaragua,NU,Harvest,1213483.766418457,0.12134837664184571
2015,15,Nicaragua,NU,Fires,151995.29022216797,0.015199529022216798
2015,15,Nicaragua,NU,ExtremeEvents,0,0
2016,16,Nicaragua,NU,Harvest,2805383.713989258,0.2805383713989258
2016,16,Nicaragua,NU,Fires,735169.8512573242,0.07351698512573242
2016,16,Nicaragua,NU,ExtremeEvents,15808.272644042969,0.0015808272644042968
2017,17,Nicaragua,NU,Harvest,2209960.6759643555,0.22099606759643556
2017,17,Nicaragua,NU,Fires,75969.2377319336,0.007596923773193359
2017,17,Nicaragua,NU,ExtremeEvents,29859.748779296875,0.0029859748779296875
2018,18,Nicaragua,NU,Harvest,1370887.3994140625,0.13708873994140625
2018,18,Nicaragua,NU,Fires,228080.45385742188,0.022808045385742187
2018,18,Nicaragua,NU,ExtremeEvents,0,0
2019,19,Nicaragua,NU,Harvest,1039223.4073809455,0.10392234073809455
2019,19,Nicaragua,NU,Fires,210657.23358154297,0.021065723358154296
2019,19,Nicaragua,NU,ExtremeEvents,0,0
2020,20,Nicaragua,NU,Harvest,1152432.1621704102,0.11524321621704102
2020,20,Nicaragua,NU,Fires,222720.8851318359,0.022272088513183592
2020,20,Nicaragua,NU,ExtremeEvents,0,0
2021,21,Nicaragua,NU,Harvest,1162803.7337036133,0.11628037337036133
2021,21,Nicaragua,NU,Fires,120584.85333251952,0.012058485333251951
2021,21,Nicaragua,NU,ExtremeEvents,892.0072033452053,8.920072033452053e-5
2022,22,Nicaragua,NU,Harvest,2433751.4610595703,0.24337514610595704
2022,22,Nicaragua,NU,Fires,418681.3499145508,0.04186813499145508
2022,22,Nicaragua,NU,ExtremeEvents,24590.11358642578,0.002459011358642578
2023,23,Nicaragua,NU,Harvest,2045769.8654785156,0.20457698654785156
2023,23,Nicaragua,NU,Fires,1190434.6838989258,0.11904346838989258
2023,23,Nicaragua,NU,ExtremeEvents,57083.6220703125,0.00570836220703125
2024,24,Nicaragua,NU,Harvest,3258064.6569213867,0.32580646569213867
2024,24,Nicaragua,NU,Fires,227219.18280029297,0.022721918280029296
2024,24,Nicaragua,NU,ExtremeEvents,34250.23352050781,0.0034250233520507815
2025,25,Nicaragua,NU,Harvest,660722.3952026367,0.06607223952026367
2025,25,Nicaragua,NU,Fires,51561.443115234375,0.005156144311523438
2025,25,Nicaragua,NU,ExtremeEvents,29859.27081298828,0.002985927081298828
