Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,New Zealand,NZ,Harvest,493098044.06090736,49.309804406090734
2011,11,New Zealand,NZ,Fires,6457638.31905709,0.6457638319057091
2011,11,New Zealand,NZ,ExtremeEvents,88300772.5964061,8.83007725964061
2012,12,New Zealand,NZ,Harvest,551099011.952579,55.109901195257905
2012,12,New Zealand,NZ,Fires,16441172.07372281,1.644117207372281
2012,12,New Zealand,NZ,ExtremeEvents,109180407.84225884,10.918040784225884
2013,13,New Zealand,NZ,Harvest,594194522.9967687,59.41945229967687
2013,13,New Zealand,NZ,Fires,21343256.88028397,2.134325688028397
2013,13,New Zealand,NZ,ExtremeEvents,135003239.90382057,13.500323990382057
2014,14,New Zealand,NZ,Harvest,585981731.38116,58.598173138116
2014,14,New Zealand,NZ,Fires,19546260.018547747,1.9546260018547748
2014,14,New Zealand,NZ,ExtremeEvents,148142853.34528857,14.814285334528858
2015,15,New Zealand,NZ,Harvest,505390204.652623,50.5390204652623
2015,15,New Zealand,NZ,Fires,11974463.7217041,1.1974463721704098
2015,15,New Zealand,NZ,ExtremeEvents,105650545.53681068,10.565054553681069
2016,16,New Zealand,NZ,Harvest,625025946.2247936,62.50259462247936
2016,16,New Zealand,NZ,Fires,35327594.1673189,3.5327594167318903
2016,16,New Zealand,NZ,ExtremeEvents,115480688.7523751,11.54806887523751
2017,17,New Zealand,NZ,Harvest,604433210.8932366,60.44332108932366
2017,17,New Zealand,NZ,Fires,15069593.481710276,1.5069593481710275
2017,17,New Zealand,NZ,ExtremeEvents,98673297.021656245,9.867329702165625
2018,18,New Zealand,NZ,Harvest,615197855.4013462,61.51978554013462
2018,18,New Zealand,NZ,Fires,17798760.460045666,1.7798760460045666
2018,18,New Zealand,NZ,ExtremeEvents,130986918.3170458,13.09869183170458
2019,19,New Zealand,NZ,Harvest,572840263.3860668,57.28402633860668
2019,19,New Zealand,NZ,Fires,16259158.475152228,1.625915847515223
2019,19,New Zealand,NZ,ExtremeEvents,102835003.62585856,10.283500362585857
2020,20,New Zealand,NZ,Harvest,476823611.3249172,47.68236113249172
2020,20,New Zealand,NZ,Fires,15096566.961937996,1.5096566961937996
2020,20,New Zealand,NZ,ExtremeEvents,92641227.8119507,9.26412278119507
2021,21,New Zealand,NZ,Harvest,525716512.448622,52.571651244862196
2021,21,New Zealand,NZ,Fires,12614996.49618614,1.2614996496186142
2021,21,New Zealand,NZ,ExtremeEvents,91339836.49043974,9.133983649043975
2022,22,New Zealand,NZ,Harvest,451473131.45308685,45.147313145308686
2022,22,New Zealand,NZ,Fires,19702354.91775094,1.970235491775094
2022,22,New Zealand,NZ,ExtremeEvents,79773154.20861457,7.977315420861458
2023,23,New Zealand,NZ,Harvest,383513932.7112718,38.35139327112718
2023,23,New Zealand,NZ,Fires,13165743.20876441,1.3165743208764409
2023,23,New Zealand,NZ,ExtremeEvents,67008267.50454317,6.700826750454317
2024,24,New Zealand,NZ,Harvest,298211406.69134086,29.821140669134085
2024,24,New Zealand,NZ,Fires,7990931.787960038,0.7990931787960037
2024,24,New Zealand,NZ,ExtremeEvents,54833111.90215872,5.483311190215872
2025,25,New Zealand,NZ,Harvest,276736134.93908453,27.67361349390845
2025,25,New Zealand,NZ,Fires,26762753.331115723,2.676275333111572
2025,25,New Zealand,NZ,ExtremeEvents,55281910.16663197,5.528191016663197
