Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Peru,PE,Harvest,5179613.207580566,0.5179613207580567
2011,11,Peru,PE,Fires,338893.0721435547,0.03388930721435547
2011,11,Peru,PE,ExtremeEvents,28313.409057617188,0.0028313409057617186
2012,12,Peru,PE,Harvest,12427050.499450682,1.2427050499450683
2012,12,Peru,PE,Fires,498626.3971557617,0.049862639715576175
2012,12,Peru,PE,ExtremeEvents,123871.2308959961,0.012387123089599609
2013,13,Peru,PE,Harvest,9043922.754516602,0.9043922754516601
2013,13,Peru,PE,Fires,168183.39013671875,0.016818339013671874
2013,13,Peru,PE,ExtremeEvents,33623.41955566406,0.0033623419555664064
2014,14,Peru,PE,Harvest,7727045.143127441,0.7727045143127441
2014,14,Peru,PE,Fires,143928.47247314453,0.014392847247314454
2014,14,Peru,PE,ExtremeEvents,61053.868896484375,0.006105386889648437
2015,15,Peru,PE,Harvest,7694343.680847168,0.7694343680847168
2015,15,Peru,PE,Fires,175778.9242553711,0.01757789242553711
2015,15,Peru,PE,ExtremeEvents,168117.1083984375,0.01681171083984375
2016,16,Peru,PE,Harvest,11739076.440856934,1.1739076440856933
2016,16,Peru,PE,Fires,448175.26794433594,0.04481752679443359
2016,16,Peru,PE,ExtremeEvents,479572.57611083984,0.047957257611083985
2017,17,Peru,PE,Harvest,16379191.963989258,1.6379191963989257
2017,17,Peru,PE,Fires,1242533.39453125,0.124253339453125
2017,17,Peru,PE,ExtremeEvents,192006.6898193359,0.01920066898193359
2018,18,Peru,PE,Harvest,6693335.554321289,0.6693335554321289
2018,18,Peru,PE,Fires,258874.6025390625,0.02588746025390625
2018,18,Peru,PE,ExtremeEvents,99984.33825683594,0.009998433825683594
2019,19,Peru,PE,Harvest,5765400.216064453,0.5765400216064454
2019,19,Peru,PE,Fires,219230.97595214844,0.021923097595214845
2019,19,Peru,PE,ExtremeEvents,114141.71606445312,0.011414171606445313
2020,20,Peru,PE,Harvest,13975056.78820801,1.397505678820801
2020,20,Peru,PE,Fires,243606.7048339844,0.02436067048339844
2020,20,Peru,PE,ExtremeEvents,75211.24200439453,0.007521124200439453
2021,21,Peru,PE,Harvest,13382531.415893555,1.3382531415893555
2021,21,Peru,PE,Fires,314477.0256958008,0.03144770256958008
2021,21,Peru,PE,ExtremeEvents,99984.703369140625,0.009998470336914063
2022,22,Peru,PE,Harvest,7518470.304748535,0.7518470304748535
2022,22,Peru,PE,Fires,809855.418762207,0.0809855418762207
2022,22,Peru,PE,ExtremeEvents,30082.757568359375,0.0030082757568359376
2023,23,Peru,PE,Harvest,14008297.724121094,1.4008297724121093
2023,23,Peru,PE,Fires,660247.7308349609,0.0660247730834961
2023,23,Peru,PE,ExtremeEvents,87590.10919189453,0.008759010919189453
2024,24,Peru,PE,Harvest,9726833.543457031,0.9726833543457031
2024,24,Peru,PE,Fires,588671.2671508789,0.05886712671508789
2024,24,Peru,PE,ExtremeEvents,15041.072143554688,0.0015041072143554687
2025,25,Peru,PE,Harvest,13951739.977111816,1.3951739977111817
2025,25,Peru,PE,Fires,398604.9714355469,0.03986049714355469
2025,25,Peru,PE,ExtremeEvents,59276.10974121094,0.0059276109741210935
