Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Poland,PL,Harvest,533845172.83411545,53.38451728341155
2011,11,Poland,PL,Fires,3068215.074645996,0.30682150746459963
2011,11,Poland,PL,ExtremeEvents,18789263.089956008,1.8789263089956008
2012,12,Poland,PL,Harvest,514506604.92148626,51.45066049214863
2012,12,Poland,PL,Fires,7160175.585857556,0.7160175585857557
2012,12,Poland,PL,ExtremeEvents,15250564.241378246,1.5250564241378246
2013,13,Poland,PL,Harvest,325430571.74310595,32.5430571743106
2013,13,Poland,PL,Fires,2153635.849086627,0.2153635849086627
2013,13,Poland,PL,ExtremeEvents,8553097.46899414,0.8553097468994141
2014,14,Poland,PL,Harvest,515339300.7982006,51.53393007982006
2014,14,Poland,PL,Fires,2252875.7091674805,0.22528757091674806
2014,14,Poland,PL,ExtremeEvents,20409203.367186543,2.040920336718654
2015,15,Poland,PL,Harvest,396041331.2999932,39.60413312999932
2015,15,Poland,PL,Fires,326030.7681274414,0.03260307681274414
2015,15,Poland,PL,ExtremeEvents,12605076.10989679,1.2605076109896791
2016,16,Poland,PL,Harvest,772701200.7968457,77.27012007968457
2016,16,Poland,PL,Fires,3056318.5771005666,0.30563185771005663
2016,16,Poland,PL,ExtremeEvents,52380317.90593286,5.238031790593286
2017,17,Poland,PL,Harvest,815073295.7461319,81.5073295746132
2017,17,Poland,PL,Fires,3187228.9232177734,0.31872289232177736
2017,17,Poland,PL,ExtremeEvents,101077777.09386176,10.107777709386175
2018,18,Poland,PL,Harvest,634866226.4756101,63.48662264756101
2018,18,Poland,PL,Fires,1783363.3247070312,0.17833633247070313
2018,18,Poland,PL,ExtremeEvents,288089312.31234324,28.808931231234325
2019,19,Poland,PL,Harvest,687941335.636613,68.7941335636613
2019,19,Poland,PL,Fires,1679248.3171185665,0.16792483171185665
2019,19,Poland,PL,ExtremeEvents,49699270.34352669,4.969927034352669
2020,20,Poland,PL,Harvest,700182005.8142036,70.01820058142036
2020,20,Poland,PL,Fires,2356874.488220215,0.23568744882202147
2020,20,Poland,PL,ExtremeEvents,17397572.217278693,1.7397572217278694
2021,21,Poland,PL,Harvest,726153910.8201647,72.61539108201647
2021,21,Poland,PL,Fires,3148175.541809082,0.3148175541809082
2021,21,Poland,PL,ExtremeEvents,17334726.967197794,1.7334726967197795
2022,22,Poland,PL,Harvest,660839155.5578014,66.08391555578014
2022,22,Poland,PL,Fires,1799575.9470825195,0.17995759470825196
2022,22,Poland,PL,ExtremeEvents,24922453.585913323,2.4922453585913322
2023,23,Poland,PL,Harvest,704547820.1919069,70.45478201919069
2023,23,Poland,PL,Fires,1695133.1270141602,0.169513312701416
2023,23,Poland,PL,ExtremeEvents,22087469.354925897,2.2087469354925897
2024,24,Poland,PL,Harvest,672624483.1095136,67.26244831095137
2024,24,Poland,PL,Fires,1765933.4050292969,0.17659334050292969
2024,24,Poland,PL,ExtremeEvents,13773043.58762949,1.377304358762949
2025,25,Poland,PL,Harvest,733181295.7639883,73.31812957639883
2025,25,Poland,PL,Fires,2666677.564050293,0.2666677564050293
2025,25,Poland,PL,ExtremeEvents,14647319.80178414,1.464731980178414
