Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Portugal,PO,Harvest,151727083.74712634,15.172708374712634
2011,11,Portugal,PO,Fires,31170823.13455906,3.117082313455906
2011,11,Portugal,PO,ExtremeEvents,94300768.86147818,9.430076886147818
2012,12,Portugal,PO,Harvest,243970820.96005735,24.397082096005736
2012,12,Portugal,PO,Fires,196684538.2504445,19.668453825044452
2012,12,Portugal,PO,ExtremeEvents,181596478.30601183,18.159647830601184
2013,13,Portugal,PO,Harvest,265781225.14039406,26.578122514039407
2013,13,Portugal,PO,Fires,132187331.44859356,13.218733144859355
2013,13,Portugal,PO,ExtremeEvents,200738728.25750396,20.073872825750396
2014,14,Portugal,PO,Harvest,373135366.57376415,37.31353665737642
2014,14,Portugal,PO,Fires,63990420.72704097,6.399042072704097
2014,14,Portugal,PO,ExtremeEvents,256072399.024028,25.6072399024028
2015,15,Portugal,PO,Harvest,276355586.0802503,27.635558608025033
2015,15,Portugal,PO,Fires,86332114.97561227,8.633211497561227
2015,15,Portugal,PO,ExtremeEvents,177710536.87499303,17.771053687499304
2016,16,Portugal,PO,Harvest,446587318.4855847,44.65873184855847
2016,16,Portugal,PO,Fires,263328787.12681764,26.332878712681765
2016,16,Portugal,PO,ExtremeEvents,403522955.799234,40.3522955799234
2017,17,Portugal,PO,Harvest,334539845.58796287,33.453984558796286
2017,17,Portugal,PO,Fires,590511227.5903411,59.05112275903411
2017,17,Portugal,PO,ExtremeEvents,1167386111.8332016,116.73861118332016
2018,18,Portugal,PO,Harvest,385757438.8021239,38.57574388021239
2018,18,Portugal,PO,Fires,125541046.55236816,12.554104655236817
2018,18,Portugal,PO,ExtremeEvents,625165594.9351369,62.51655949351369
2019,19,Portugal,PO,Harvest,239213049.42815024,23.921304942815024
2019,19,Portugal,PO,Fires,83155524.2472173,8.31555242472173
2019,19,Portugal,PO,ExtremeEvents,127920125.87601031,12.79201258760103
2020,20,Portugal,PO,Harvest,367881132.4299455,36.788113242994555
2020,20,Portugal,PO,Fires,92730195.02701202,9.273019502701201
2020,20,Portugal,PO,ExtremeEvents,279168847.3847657,27.91688473847657
2021,21,Portugal,PO,Harvest,277294444.8255109,27.72944448255109
2021,21,Portugal,PO,Fires,40708226.535610065,4.070822653561007
2021,21,Portugal,PO,ExtremeEvents,139437067.53149986,13.943706753149986
2022,22,Portugal,PO,Harvest,248418302.77345675,24.841830277345675
2022,22,Portugal,PO,Fires,116967128.5468982,11.696712854689821
2022,22,Portugal,PO,ExtremeEvents,220273115.75888383,22.027311575888383
2023,23,Portugal,PO,Harvest,251895400.22210693,25.189540022210693
2023,23,Portugal,PO,Fires,64594281.543573834,6.459428154357384
2023,23,Portugal,PO,ExtremeEvents,130930800.92562568,13.093080092562568
2024,24,Portugal,PO,Harvest,256177650.68920895,25.617765068920896
2024,24,Portugal,PO,Fires,101114468.18290992,10.111446818290991
2024,24,Portugal,PO,ExtremeEvents,174034243.6832036,17.403424368320362
2025,25,Portugal,PO,Harvest,183960279.10769147,18.396027910769146
2025,25,Portugal,PO,Fires,410874535.7170513,41.08745357170513
2025,25,Portugal,PO,ExtremeEvents,167656596.73022556,16.765659673022558
