Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Palau,PS,Harvest,0,0
2011,11,Palau,PS,Fires,0,0
2011,11,Palau,PS,ExtremeEvents,0,0
2012,12,Palau,PS,Harvest,0,0
2012,12,Palau,PS,Fires,0,0
2012,12,Palau,PS,ExtremeEvents,0,0
2013,13,Palau,PS,Harvest,0,0
2013,13,Palau,PS,Fires,0,0
2013,13,Palau,PS,ExtremeEvents,0,0
2014,14,Palau,PS,Harvest,0,0
2014,14,Palau,PS,Fires,0,0
2014,14,Palau,PS,ExtremeEvents,0,0
2015,15,Palau,PS,Harvest,0,0
2015,15,Palau,PS,Fires,0,0
2015,15,Palau,PS,ExtremeEvents,0,0
2016,16,Palau,PS,Harvest,0,0
2016,16,Palau,PS,Fires,0,0
2016,16,Palau,PS,ExtremeEvents,0,0
2017,17,Palau,PS,Harvest,0,0
2017,17,Palau,PS,Fires,0,0
2017,17,Palau,PS,ExtremeEvents,0,0
2018,18,Palau,PS,Harvest,0,0
2018,18,Palau,PS,Fires,0,0
2018,18,Palau,PS,ExtremeEvents,0,0
2019,19,Palau,PS,Harvest,0,0
2019,19,Palau,PS,Fires,0,0
2019,19,Palau,PS,ExtremeEvents,0,0
2020,20,Palau,PS,Harvest,0,0
2020,20,Palau,PS,Fires,0,0
2020,20,Palau,PS,ExtremeEvents,0,0
2021,21,Palau,PS,Harvest,0,0
2021,21,Palau,PS,Fires,0,0
2021,21,Palau,PS,ExtremeEvents,0,0
2022,22,Palau,PS,Harvest,0,0
2022,22,Palau,PS,Fires,0,0
2022,22,Palau,PS,ExtremeEvents,0,0
2023,23,Palau,PS,Harvest,0,0
2023,23,Palau,PS,Fires,0,0
2023,23,Palau,PS,ExtremeEvents,0,0
2024,24,Palau,PS,Harvest,0,0
2024,24,Palau,PS,Fires,0,0
2024,24,Palau,PS,ExtremeEvents,0,0
2025,25,Palau,PS,Harvest,0,0
2025,25,Palau,PS,Fires,0,0
2025,25,Palau,PS,ExtremeEvents,0,0
