Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Guinea-Bissau,PU,Harvest,78641.85138226677,0.007864185138226678
2011,11,Guinea-Bissau,PU,Fires,0,0
2011,11,Guinea-Bissau,PU,ExtremeEvents,0,0
2012,12,Guinea-Bissau,PU,Harvest,130038.8961679496,0.01300388961679496
2012,12,Guinea-Bissau,PU,Fires,0,0
2012,12,Guinea-Bissau,PU,ExtremeEvents,0,0
2013,13,Guinea-Bissau,PU,Harvest,1364919.4972007603,0.13649194972007603
2013,13,Guinea-Bissau,PU,Fires,0,0
2013,13,Guinea-Bissau,PU,ExtremeEvents,0,0
2014,14,Guinea-Bissau,PU,Harvest,884461.0728671205,0.08844610728671205
2014,14,Guinea-Bissau,PU,Fires,0,0
2014,14,Guinea-Bissau,PU,ExtremeEvents,0,0
2015,15,Guinea-Bissau,PU,Harvest,715318.4611103133,0.07153184611103133
2015,15,Guinea-Bissau,PU,Fires,0,0
2015,15,Guinea-Bissau,PU,ExtremeEvents,0,0
2016,16,Guinea-Bissau,PU,Harvest,519005.8084333831,0.05190058084333831
2016,16,Guinea-Bissau,PU,Fires,0,0
2016,16,Guinea-Bissau,PU,ExtremeEvents,0,0
2017,17,Guinea-Bissau,PU,Harvest,922247.5927368164,0.09222475927368164
2017,17,Guinea-Bissau,PU,Fires,0,0
2017,17,Guinea-Bissau,PU,ExtremeEvents,0,0
2018,18,Guinea-Bissau,PU,Harvest,1312401.0492534563,0.13124010492534563
2018,18,Guinea-Bissau,PU,Fires,0,0
2018,18,Guinea-Bissau,PU,ExtremeEvents,0,0
2019,19,Guinea-Bissau,PU,Harvest,1396687.2723946366,0.13966872723946366
2019,19,Guinea-Bissau,PU,Fires,0,0
2019,19,Guinea-Bissau,PU,ExtremeEvents,0,0
2020,20,Guinea-Bissau,PU,Harvest,1483032.3640967277,0.14830323640967277
2020,20,Guinea-Bissau,PU,Fires,0,0
2020,20,Guinea-Bissau,PU,ExtremeEvents,0,0
2021,21,Guinea-Bissau,PU,Harvest,858908.7013949524,0.08589087013949524
2021,21,Guinea-Bissau,PU,Fires,0,0
2021,21,Guinea-Bissau,PU,ExtremeEvents,0,0
2022,22,Guinea-Bissau,PU,Harvest,671836.7502888998,0.06718367502888997
2022,22,Guinea-Bissau,PU,Fires,0,0
2022,22,Guinea-Bissau,PU,ExtremeEvents,0,0
2023,23,Guinea-Bissau,PU,Harvest,584034.115803079,0.0584034115803079
2023,23,Guinea-Bissau,PU,Fires,0,0
2023,23,Guinea-Bissau,PU,ExtremeEvents,0,0
2024,24,Guinea-Bissau,PU,Harvest,498650.1814141965,0.04986501814141965
2024,24,Guinea-Bissau,PU,Fires,0,0
2024,24,Guinea-Bissau,PU,ExtremeEvents,0,0
2025,25,Guinea-Bissau,PU,Harvest,353998.6168811274,0.03539986168811274
2025,25,Guinea-Bissau,PU,Fires,0,0
2025,25,Guinea-Bissau,PU,ExtremeEvents,0,0
