Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Serbia,RI,Harvest,25823108.010657694,2.5823108010657694
2011,11,Serbia,RI,Fires,1921672.4362438729,0.19216724362438728
2011,11,Serbia,RI,ExtremeEvents,1596164.7971801758,0.15961647971801757
2012,12,Serbia,RI,Harvest,38334719.596611224,3.8334719596611224
2012,12,Serbia,RI,Fires,9595151.01743212,0.959515101743212
2012,12,Serbia,RI,ExtremeEvents,1477188.0634136123,0.14771880634136123
2013,13,Serbia,RI,Harvest,26305081.206232287,2.6305081206232286
2013,13,Serbia,RI,Fires,7432072.278450041,0.7432072278450041
2013,13,Serbia,RI,ExtremeEvents,849357.6334300322,0.08493576334300322
2014,14,Serbia,RI,Harvest,45417034.88950554,4.541703488950554
2014,14,Serbia,RI,Fires,1866103.0301513672,0.18661030301513673
2014,14,Serbia,RI,ExtremeEvents,2239029.71685791,0.223902971685791
2015,15,Serbia,RI,Harvest,30932282.776027784,3.0932282776027784
2015,15,Serbia,RI,Fires,300862.3665161133,0.03008623665161133
2015,15,Serbia,RI,ExtremeEvents,1471758.380794989,0.14717583807949888
2016,16,Serbia,RI,Harvest,50268325.79842172,5.026832579842172
2016,16,Serbia,RI,Fires,2322764.0695405845,0.23227640695405843
2016,16,Serbia,RI,ExtremeEvents,1647397.2086791992,0.1647397208679199
2017,17,Serbia,RI,Harvest,37999828.164092414,3.7999828164092415
2017,17,Serbia,RI,Fires,776846.2268066406,0.07768462268066406
2017,17,Serbia,RI,ExtremeEvents,2688317.3388671875,0.26883173388671877
2018,18,Serbia,RI,Harvest,41282156.92808431,4.128215692808431
2018,18,Serbia,RI,Fires,725122.7247924805,0.07251227247924805
2018,18,Serbia,RI,ExtremeEvents,3235985.932158586,0.3235985932158586
2019,19,Serbia,RI,Harvest,42970780.208791204,4.297078020879121
2019,19,Serbia,RI,Fires,583616.5420350318,0.058361654203503185
2019,19,Serbia,RI,ExtremeEvents,2485167.4454089594,0.24851674454089595
2020,20,Serbia,RI,Harvest,55010474.384667,5.5010474384667
2020,20,Serbia,RI,Fires,2571031.407470703,0.2571031407470703
2020,20,Serbia,RI,ExtremeEvents,1975837.9655151367,0.19758379655151367
2021,21,Serbia,RI,Harvest,42244979.23940597,4.224497923940596
2021,21,Serbia,RI,Fires,1703861.825134277,0.17038618251342771
2021,21,Serbia,RI,ExtremeEvents,1993210.0254822976,0.19932100254822976
2022,22,Serbia,RI,Harvest,47997776.28050609,4.799777628050609
2022,22,Serbia,RI,Fires,2488550.051208496,0.2488550051208496
2022,22,Serbia,RI,ExtremeEvents,2175758.014174278,0.2175758014174278
2023,23,Serbia,RI,Harvest,81923011.59104457,8.192301159104458
2023,23,Serbia,RI,Fires,651749.5934448242,0.06517495934448242
2023,23,Serbia,RI,ExtremeEvents,9093000.034261309,0.9093000034261308
2024,24,Serbia,RI,Harvest,45349665.914068006,4.534966591406801
2024,24,Serbia,RI,Fires,2267190.351653933,0.2267190351653933
2024,24,Serbia,RI,ExtremeEvents,1626126.4512939453,0.16261264512939452
2025,25,Serbia,RI,Harvest,56208279.55653387,5.620827955653387
2025,25,Serbia,RI,Fires,8731787.697950896,0.8731787697950896
2025,25,Serbia,RI,ExtremeEvents,1352857.5982055664,0.13528575982055663
