Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Romania,RO,Harvest,152832929.52227235,15.283292952227235
2011,11,Romania,RO,Fires,861737.7025756836,0.08617377025756837
2011,11,Romania,RO,ExtremeEvents,12406850.738769531,1.240685073876953
2012,12,Romania,RO,Harvest,256849922.17733294,25.684992217733292
2012,12,Romania,RO,Fires,8128870.375488281,0.8128870375488281
2012,12,Romania,RO,ExtremeEvents,34312442.746154785,3.4312442746154783
2013,13,Romania,RO,Harvest,113336465.90820241,11.33364659082024
2013,13,Romania,RO,Fires,3435356.7084350586,0.34353567084350584
2013,13,Romania,RO,ExtremeEvents,8871593.633666992,0.8871593633666992
2014,14,Romania,RO,Harvest,179702962.04857135,17.970296204857135
2014,14,Romania,RO,Fires,1511246.4970703125,0.15112464970703124
2014,14,Romania,RO,ExtremeEvents,9228599.93359375,0.922859993359375
2015,15,Romania,RO,Harvest,101391714.39574213,10.139171439574213
2015,15,Romania,RO,Fires,113460.20733642578,0.011346020733642577
2015,15,Romania,RO,ExtremeEvents,4487101.408325195,0.44871014083251953
2016,16,Romania,RO,Harvest,206255075.63071764,20.625507563071764
2016,16,Romania,RO,Fires,2600773.8303222656,0.26007738303222655
2016,16,Romania,RO,ExtremeEvents,16704705.748331944,1.6704705748331943
2017,17,Romania,RO,Harvest,176564074.8215643,17.65640748215643
2017,17,Romania,RO,Fires,240730.47344970703,0.0240730473449707
2017,17,Romania,RO,ExtremeEvents,10434726.399108889,1.043472639910889
2018,18,Romania,RO,Harvest,168735029.31790987,16.873502931790988
2018,18,Romania,RO,Fires,542182.103515625,0.0542182103515625
2018,18,Romania,RO,ExtremeEvents,16907107.548095703,1.6907107548095703
2019,19,Romania,RO,Harvest,112681427.41235591,11.268142741235591
2019,19,Romania,RO,Fires,169103.65323917163,0.016910365323917164
2019,19,Romania,RO,ExtremeEvents,6568932.8204956055,0.6568932820495605
2020,20,Romania,RO,Harvest,234054187.01354882,23.405418701354883
2020,20,Romania,RO,Fires,2017277.5568237305,0.20172775568237306
2020,20,Romania,RO,ExtremeEvents,34395422.980369896,3.4395422980369896
2021,21,Romania,RO,Harvest,133327302.61627486,13.332730261627486
2021,21,Romania,RO,Fires,367485.19299316406,0.036748519299316405
2021,21,Romania,RO,ExtremeEvents,9137811.165375832,0.9137811165375832
2022,22,Romania,RO,Harvest,146370672.22304714,14.637067222304713
2022,22,Romania,RO,Fires,873196.3016967773,0.08731963016967774
2022,22,Romania,RO,ExtremeEvents,12382579.335201727,1.2382579335201727
2023,23,Romania,RO,Harvest,230521668.87963802,23.0521668879638
2023,23,Romania,RO,Fires,480429.7868652344,0.048042978686523435
2023,23,Romania,RO,ExtremeEvents,16958061.111337222,1.6958061111337221
2024,24,Romania,RO,Harvest,189853229.54197755,18.985322954197756
2024,24,Romania,RO,Fires,430691.7104492187,0.04306917104492187
2024,24,Romania,RO,ExtremeEvents,6435144.918455595,0.6435144918455595
2025,25,Romania,RO,Harvest,219708485.64375865,21.970848564375867
2025,25,Romania,RO,Fires,2825657.235816387,0.2825657235816387
2025,25,Romania,RO,ExtremeEvents,5763024.211669922,0.5763024211669922
