Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Philippines,RP,Harvest,41200229.03678648,4.120022903678648
2011,11,Philippines,RP,Fires,428255.5155515185,0.042825551555151845
2011,11,Philippines,RP,ExtremeEvents,3401760.3831054685,0.3401760383105468
2012,12,Philippines,RP,Harvest,95584174.04955453,9.558417404955453
2012,12,Philippines,RP,Fires,715407.1596533683,0.07154071596533683
2012,12,Philippines,RP,ExtremeEvents,10917245.664665911,1.091724566466591
2013,13,Philippines,RP,Harvest,47942626.162221394,4.79426261622214
2013,13,Philippines,RP,Fires,489386.9642214308,0.04893869642214308
2013,13,Philippines,RP,ExtremeEvents,48955165.09553725,4.895516509553725
2014,14,Philippines,RP,Harvest,98216798.2448721,9.821679824487209
2014,14,Philippines,RP,Fires,1021012.8610665116,0.10210128610665116
2014,14,Philippines,RP,ExtremeEvents,117314430.40663391,11.731443040663391
2015,15,Philippines,RP,Harvest,58645707.811134726,5.864570781113472
2015,15,Philippines,RP,Fires,626500.9951751111,0.0626500995175111
2015,15,Philippines,RP,ExtremeEvents,8112777.854567823,0.8112777854567823
2016,16,Philippines,RP,Harvest,127866413.71104431,12.786641371104432
2016,16,Philippines,RP,Fires,2498991.218424001,0.24989912184240007
2016,16,Philippines,RP,ExtremeEvents,23018252.93803448,2.301825293803448
2017,17,Philippines,RP,Harvest,115642447.856778,11.564244785677799
2017,17,Philippines,RP,Fires,1740694.3694405349,0.1740694369440535
2017,17,Philippines,RP,ExtremeEvents,10026762.209008789,1.0026762209008788
2018,18,Philippines,RP,Harvest,78359156.33656746,7.835915633656747
2018,18,Philippines,RP,Fires,1489314.0692284678,0.1489314069228468
2018,18,Philippines,RP,ExtremeEvents,4683224.848902564,0.46832248489025635
2019,19,Philippines,RP,Harvest,60031637.431342155,6.003163743134215
2019,19,Philippines,RP,Fires,1598156.1522384344,0.15981561522384344
2019,19,Philippines,RP,ExtremeEvents,5400042.586064836,0.5400042586064836
2020,20,Philippines,RP,Harvest,56989842.589885645,5.698984258988564
2020,20,Philippines,RP,Fires,1178613.2877783682,0.11786132877783682
2020,20,Philippines,RP,ExtremeEvents,4762101.099153886,0.47621010991538854
2021,21,Philippines,RP,Harvest,43867300.47675422,4.386730047675422
2021,21,Philippines,RP,Fires,925234.6134622012,0.09252346134622012
2021,21,Philippines,RP,ExtremeEvents,3476893.1435209387,0.3476893143520939
2022,22,Philippines,RP,Harvest,53949186.19650975,5.394918619650975
2022,22,Philippines,RP,Fires,2306694.234186389,0.2306694234186389
2022,22,Philippines,RP,ExtremeEvents,15800793.018898638,1.5800793018898638
2023,23,Philippines,RP,Harvest,46799582.818519734,4.679958281851974
2023,23,Philippines,RP,Fires,662793.9793693991,0.06627939793693992
2023,23,Philippines,RP,ExtremeEvents,3316440.973733341,0.3316440973733341
2024,24,Philippines,RP,Harvest,60217984.75640942,6.021798475640942
2024,24,Philippines,RP,Fires,1105901.1699678309,0.11059011699678309
2024,24,Philippines,RP,ExtremeEvents,6234011.139529239,0.623401113952924
2025,25,Philippines,RP,Harvest,39972701.5936727,3.99727015936727
2025,25,Philippines,RP,Fires,633031.8754619524,0.06330318754619524
2025,25,Philippines,RP,ExtremeEvents,2532137.575604607,0.25321375756046066
