Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Puerto Rico,RQ,Harvest,130896.50122070312,0.013089650122070312
2011,11,Puerto Rico,RQ,Fires,1700.1723022460938,1.7001723022460938e-4
2011,11,Puerto Rico,RQ,ExtremeEvents,68832.86999511719,0.006883286999511719
2012,12,Puerto Rico,RQ,Harvest,102794.53564453125,0.010279453564453126
2012,12,Puerto Rico,RQ,Fires,849.35809326171875,8.493580932617188e-5
2012,12,Puerto Rico,RQ,ExtremeEvents,19538.79626464844,0.001953879626464844
2013,13,Puerto Rico,RQ,Harvest,275294.7012939453,0.02752947012939453
2013,13,Puerto Rico,RQ,Fires,0,0
2013,13,Puerto Rico,RQ,ExtremeEvents,35689.221435546875,0.0035689221435546876
2014,14,Puerto Rico,RQ,Harvest,514082.0338745117,0.051408203387451175
2014,14,Puerto Rico,RQ,Fires,15293.79443359375,0.001529379443359375
2014,14,Puerto Rico,RQ,ExtremeEvents,295762.02362060547,0.029576202362060548
2015,15,Puerto Rico,RQ,Harvest,317647.39630126953,0.03176473963012695
2015,15,Puerto Rico,RQ,Fires,6792.85986328125,6.79285986328125e-4
2015,15,Puerto Rico,RQ,ExtremeEvents,45880.50750732422,0.004588050750732422
2016,16,Puerto Rico,RQ,Harvest,120644.77667236328,0.012064477667236327
2016,16,Puerto Rico,RQ,Fires,0,0
2016,16,Puerto Rico,RQ,ExtremeEvents,33139.1064453125,0.00331391064453125
2017,17,Puerto Rico,RQ,Harvest,1065350.5843505862,0.10653505843505862
2017,17,Puerto Rico,RQ,Fires,61991.769287109375,0.006199176928710938
2017,17,Puerto Rico,RQ,ExtremeEvents,1257374.9948120115,0.12573749948120114
2018,18,Puerto Rico,RQ,Harvest,122368.06262207028,0.012236806262207028
2018,18,Puerto Rico,RQ,Fires,6794.888000488281,6.794888000488281e-4
2018,18,Puerto Rico,RQ,ExtremeEvents,248930.55493164065,0.024893055493164066
2019,19,Puerto Rico,RQ,Harvest,271965.7668457031,0.027196576684570314
2019,19,Puerto Rico,RQ,Fires,850.98101806640625,8.509810180664062e-5
2019,19,Puerto Rico,RQ,ExtremeEvents,201427.11456298828,0.02014271145629883
2020,20,Puerto Rico,RQ,Harvest,138631.8504638672,0.01386318504638672
2020,20,Puerto Rico,RQ,Fires,850.9427490234375,8.509427490234375e-5
2020,20,Puerto Rico,RQ,ExtremeEvents,83255.824462890625,0.008325582446289063
2021,21,Puerto Rico,RQ,Harvest,153845.55993652344,0.015384555993652344
2021,21,Puerto Rico,RQ,Fires,0,0
2021,21,Puerto Rico,RQ,ExtremeEvents,67965.7523803711,0.006796575238037109
2022,22,Puerto Rico,RQ,Harvest,81607.22741699219,0.008160722741699218
2022,22,Puerto Rico,RQ,Fires,850.9364013671875,8.509364013671875e-5
2022,22,Puerto Rico,RQ,ExtremeEvents,79021.124267578125,0.007902112426757812
2023,23,Puerto Rico,RQ,Harvest,300683.32421875,0.030068332421875
2023,23,Puerto Rico,RQ,Fires,3396.9699096679688,3.3969699096679686e-4
2023,23,Puerto Rico,RQ,ExtremeEvents,142824.03582763672,0.014282403582763671
2024,24,Puerto Rico,RQ,Harvest,61207.56170654297,0.006120756170654297
2024,24,Puerto Rico,RQ,Fires,0,0
2024,24,Puerto Rico,RQ,ExtremeEvents,9350.9805908203125,9.350980590820312e-4
2025,25,Puerto Rico,RQ,Harvest,112184.8569946289,0.01121848569946289
2025,25,Puerto Rico,RQ,Fires,850.963134765625,8.50963134765625e-5
2025,25,Puerto Rico,RQ,ExtremeEvents,37377.52935791016,0.0037377529357910163
