Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Russian Federation,RS,Harvest,8226988946.744343,822.6988946744343
2011,11,Russian Federation,RS,Fires,18712336653.99756,1871.2336653997559
2011,11,Russian Federation,RS,ExtremeEvents,5685823901.420731,568.5823901420731
2012,12,Russian Federation,RS,Harvest,11560265488.489735,1156.0265488489736
2012,12,Russian Federation,RS,Fires,40387446698.913246,4038.7446698913245
2012,12,Russian Federation,RS,ExtremeEvents,7080238682.778829,708.0238682778829
2013,13,Russian Federation,RS,Harvest,8249574451.641577,824.9574451641577
2013,13,Russian Federation,RS,Fires,36937118056.51161,3693.7118056511613
2013,13,Russian Federation,RS,ExtremeEvents,9361262716.525454,936.1262716525454
2014,14,Russian Federation,RS,Harvest,8627129055.632547,862.7129055632547
2014,14,Russian Federation,RS,Fires,37236245930.60744,3723.624593060744
2014,14,Russian Federation,RS,ExtremeEvents,4587240165.231344,458.7240165231344
2015,15,Russian Federation,RS,Harvest,7581399914.542847,758.1399914542847
2015,15,Russian Federation,RS,Fires,14389337228.280336,1438.9337228280338
2015,15,Russian Federation,RS,ExtremeEvents,2970239351.3014393,297.0239351301439
2016,16,Russian Federation,RS,Harvest,10161511767.308811,1016.1511767308812
2016,16,Russian Federation,RS,Fires,35198428703.85208,3519.8428703852082
2016,16,Russian Federation,RS,ExtremeEvents,10661256932.218609,1066.125693221861
2017,17,Russian Federation,RS,Harvest,10643758056.431149,1064.3758056431147
2017,17,Russian Federation,RS,Fires,29539292798.535217,2953.9292798535216
2017,17,Russian Federation,RS,ExtremeEvents,16669330732.553852,1666.9330732553851
2018,18,Russian Federation,RS,Harvest,10224601586.639292,1022.4601586639292
2018,18,Russian Federation,RS,Fires,37811387574.99515,3781.1387574995147
2018,18,Russian Federation,RS,ExtremeEvents,13739208370.127195,1373.9208370127196
2019,19,Russian Federation,RS,Harvest,9507172181.138649,950.7172181138649
2019,19,Russian Federation,RS,Fires,26454758884.915867,2645.475888491587
2019,19,Russian Federation,RS,ExtremeEvents,6203594859.167912,620.3594859167912
2020,20,Russian Federation,RS,Harvest,9661742166.81501,966.174216681501
2020,20,Russian Federation,RS,Fires,46947601257.93987,4694.760125793987
2020,20,Russian Federation,RS,ExtremeEvents,9809094001.17669,980.909400117669
2021,21,Russian Federation,RS,Harvest,9353557719.534391,935.3557719534391
2021,21,Russian Federation,RS,Fires,61779078665.49048,6177.907866549048
2021,21,Russian Federation,RS,ExtremeEvents,4761878339.010561,476.1878339010561
2022,22,Russian Federation,RS,Harvest,9600281173.447329,960.0281173447329
2022,22,Russian Federation,RS,Fires,33128728456.968163,3312.872845696816
2022,22,Russian Federation,RS,ExtremeEvents,4316830689.544462,431.68306895444624
2023,23,Russian Federation,RS,Harvest,8689322120.680826,868.9322120680827
2023,23,Russian Federation,RS,Fires,24869981533.561363,2486.9981533561363
2023,23,Russian Federation,RS,ExtremeEvents,4101858231.060698,410.1858231060698
2024,24,Russian Federation,RS,Harvest,8885963013.906656,888.5963013906656
2024,24,Russian Federation,RS,Fires,44341633054.938576,4434.1633054938575
2024,24,Russian Federation,RS,ExtremeEvents,8516688855.451445,851.6688855451445
2025,25,Russian Federation,RS,Harvest,8476468804.734631,847.64688047346306
2025,25,Russian Federation,RS,Fires,17726581205.852776,1772.6581205852776
2025,25,Russian Federation,RS,ExtremeEvents,15502443457.212322,1550.2443457212323
