Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Rwanda,RW,Harvest,161714.8447265625,0.01617148447265625
2011,11,Rwanda,RW,Fires,0,0
2011,11,Rwanda,RW,ExtremeEvents,0,0
2012,12,Rwanda,RW,Harvest,285013.0734863281,0.028501307348632814
2012,12,Rwanda,RW,Fires,0,0
2012,12,Rwanda,RW,ExtremeEvents,0,0
2013,13,Rwanda,RW,Harvest,144747.0033569336,0.014474700335693359
2013,13,Rwanda,RW,Fires,0,0
2013,13,Rwanda,RW,ExtremeEvents,0,0
2014,14,Rwanda,RW,Harvest,149220.95147705078,0.014922095147705079
2014,14,Rwanda,RW,Fires,0,0
2014,14,Rwanda,RW,ExtremeEvents,0,0
2015,15,Rwanda,RW,Harvest,152801.55157470703,0.015280155157470703
2015,15,Rwanda,RW,Fires,0,0
2015,15,Rwanda,RW,ExtremeEvents,0,0
2016,16,Rwanda,RW,Harvest,172460.61865234375,0.017246061865234374
2016,16,Rwanda,RW,Fires,0,0
2016,16,Rwanda,RW,ExtremeEvents,0,0
2017,17,Rwanda,RW,Harvest,89353.99969482422,0.008935399969482422
2017,17,Rwanda,RW,Fires,0,0
2017,17,Rwanda,RW,ExtremeEvents,0,0
2018,18,Rwanda,RW,Harvest,193895.55572509769,0.019389555572509768
2018,18,Rwanda,RW,Fires,0,0
2018,18,Rwanda,RW,ExtremeEvents,0,0
2019,19,Rwanda,RW,Harvest,104545.86016845703,0.010454586016845704
2019,19,Rwanda,RW,Fires,1787.2117309570312,1.7872117309570312e-4
2019,19,Rwanda,RW,ExtremeEvents,0,0
2020,20,Rwanda,RW,Harvest,81312.09875488281,0.008131209875488281
2020,20,Rwanda,RW,Fires,0,0
2020,20,Rwanda,RW,ExtremeEvents,0,0
2021,21,Rwanda,RW,Harvest,79523.78063964844,0.007952378063964843
2021,21,Rwanda,RW,Fires,0,0
2021,21,Rwanda,RW,ExtremeEvents,0,0
2022,22,Rwanda,RW,Harvest,75057.9859008789,0.007505798590087891
2022,22,Rwanda,RW,Fires,0,0
2022,22,Rwanda,RW,ExtremeEvents,0,0
2023,23,Rwanda,RW,Harvest,126886.24737548828,0.012688624737548828
2023,23,Rwanda,RW,Fires,0,0
2023,23,Rwanda,RW,ExtremeEvents,0,0
2024,24,Rwanda,RW,Harvest,89355.4009399414,0.008935540093994141
2024,24,Rwanda,RW,Fires,0,0
2024,24,Rwanda,RW,ExtremeEvents,0,0
2025,25,Rwanda,RW,Harvest,260909.89013671875,0.026090989013671875
2025,25,Rwanda,RW,Fires,5361.45458984375,5.36145458984375e-4
2025,25,Rwanda,RW,ExtremeEvents,0,0
