Year,YearCode,Country,GEECode,name,Area_m2,value
2012,12,Saudi Arabia,SA,Harvest,0,0
2012,12,Saudi Arabia,SA,Fires,0,0
2012,12,Saudi Arabia,SA,ExtremeEvents,0,0
2013,13,Saudi Arabia,SA,Harvest,0,0
2013,13,Saudi Arabia,SA,Fires,0,0
2013,13,Saudi Arabia,SA,ExtremeEvents,0,0
2014,14,Saudi Arabia,SA,Harvest,0,0
2014,14,Saudi Arabia,SA,Fires,0,0
2014,14,Saudi Arabia,SA,ExtremeEvents,0,0
2025,25,Saudi Arabia,SA,Harvest,0,0
2025,25,Saudi Arabia,SA,Fires,0,0
2025,25,Saudi Arabia,SA,ExtremeEvents,0,0
2024,24,Saudi Arabia,SA,Harvest,0,0
2024,24,Saudi Arabia,SA,Fires,0,0
2024,24,Saudi Arabia,SA,ExtremeEvents,0,0
