Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Saint Pierre et Miquelon,SB,Harvest,0,0
2011,11,Saint Pierre et Miquelon,SB,Fires,0,0
2011,11,Saint Pierre et Miquelon,SB,ExtremeEvents,0,0
2013,13,Saint Pierre et Miquelon,SB,Harvest,40658.601135253906,0.004065860113525391
2013,13,Saint Pierre et Miquelon,SB,Fires,0,0
2013,13,Saint Pierre et Miquelon,SB,ExtremeEvents,0,0
2014,14,Saint Pierre et Miquelon,SB,Harvest,4310.851135253906,4.3108511352539064e-4
2014,14,Saint Pierre et Miquelon,SB,Fires,0,0
2014,14,Saint Pierre et Miquelon,SB,ExtremeEvents,0,0
2018,18,Saint Pierre et Miquelon,SB,Harvest,1233.382080078125,1.233382080078125e-4
2018,18,Saint Pierre et Miquelon,SB,Fires,0,0
2018,18,Saint Pierre et Miquelon,SB,ExtremeEvents,0,0
2019,19,Saint Pierre et Miquelon,SB,Harvest,3083.4811401367188,3.083481140136719e-4
2019,19,Saint Pierre et Miquelon,SB,Fires,0,0
2019,19,Saint Pierre et Miquelon,SB,ExtremeEvents,0,0
2020,20,Saint Pierre et Miquelon,SB,Harvest,684.4794866823682,6.844794866823683e-5
2020,20,Saint Pierre et Miquelon,SB,Fires,0,0
2020,20,Saint Pierre et Miquelon,SB,ExtremeEvents,0,0
2021,21,Saint Pierre et Miquelon,SB,Harvest,0,0
2021,21,Saint Pierre et Miquelon,SB,Fires,0,0
2021,21,Saint Pierre et Miquelon,SB,ExtremeEvents,0,0
2024,24,Saint Pierre et Miquelon,SB,Harvest,4306.569091796875,4.306569091796875e-4
2024,24,Saint Pierre et Miquelon,SB,Fires,0,0
2024,24,Saint Pierre et Miquelon,SB,ExtremeEvents,0,0
