Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,South Africa,SF,Harvest,420161906.74014056,42.016190674014055
2011,11,South Africa,SF,Fires,7557587.601989746,0.7557587601989746
2011,11,South Africa,SF,ExtremeEvents,177015475.84921923,17.701547584921922
2012,12,South Africa,SF,Harvest,498793058.3398442,49.879305833984425
2012,12,South Africa,SF,Fires,8810973.421386719,0.8810973421386719
2012,12,South Africa,SF,ExtremeEvents,262219774.84799805,26.221977484799805
2013,13,South Africa,SF,Harvest,338736021.34437466,33.87360213443747
2013,13,South Africa,SF,Fires,26937983.592873488,2.693798359287349
2013,13,South Africa,SF,ExtremeEvents,115449014.43155518,11.544901443155519
2014,14,South Africa,SF,Harvest,460577281.9783627,46.05772819783627
2014,14,South Africa,SF,Fires,26384524.79382324,2.6384524793823236
2014,14,South Africa,SF,ExtremeEvents,138463464.54730225,13.846346454730224
2015,15,South Africa,SF,Harvest,395850082.3782158,39.585008237821576
2015,15,South Africa,SF,Fires,37509464.45904541,3.750946445904541
2015,15,South Africa,SF,ExtremeEvents,133928134.51236571,13.392813451236572
2016,16,South Africa,SF,Harvest,497564612.6987281,49.75646126987281
2016,16,South Africa,SF,Fires,24235100.299242925,2.4235100299242927
2016,16,South Africa,SF,ExtremeEvents,134088275.94678356,13.408827594678355
2017,17,South Africa,SF,Harvest,522952568.0599413,52.29525680599413
2017,17,South Africa,SF,Fires,149000567.4029146,14.900056740291461
2017,17,South Africa,SF,ExtremeEvents,179107905.1359947,17.91079051359947
2018,18,South Africa,SF,Harvest,400261069.00976324,40.02610690097632
2018,18,South Africa,SF,Fires,28344053.214085717,2.8344053214085716
2018,18,South Africa,SF,ExtremeEvents,123701875.01765016,12.370187501765015
2019,19,South Africa,SF,Harvest,410018633.53405833,41.00186335340583
2019,19,South Africa,SF,Fires,48320936.92989885,4.8320936929898854
2019,19,South Africa,SF,ExtremeEvents,154057042.25787354,15.405704225787353
2020,20,South Africa,SF,Harvest,352560363.84158653,35.256036384158655
2020,20,South Africa,SF,Fires,14760881.901096478,1.4760881901096479
2020,20,South Africa,SF,ExtremeEvents,76206549.41705322,7.620654941705323
2021,21,South Africa,SF,Harvest,329026662.9474209,32.90266629474209
2021,21,South Africa,SF,Fires,14888550.92376709,1.488855092376709
2021,21,South Africa,SF,ExtremeEvents,88450406.78133352,8.845040678133351
2022,22,South Africa,SF,Harvest,247929256.1681218,24.79292561681218
2022,22,South Africa,SF,Fires,26040881.92690047,2.604088192690047
2022,22,South Africa,SF,ExtremeEvents,76011670.44564234,7.601167044564233
2023,23,South Africa,SF,Harvest,182762593.1205435,18.27625931205435
2023,23,South Africa,SF,Fires,12208691.15596852,1.220869115596852
2023,23,South Africa,SF,ExtremeEvents,43594746.19378638,4.359474619378639
2024,24,South Africa,SF,Harvest,168970720.17949748,16.89707201794975
2024,24,South Africa,SF,Fires,37341664.46624756,3.734166446624756
2024,24,South Africa,SF,ExtremeEvents,50123073.80043514,5.012307380043514
2025,25,South Africa,SF,Harvest,165716737.08688462,16.57167370868846
2025,25,South Africa,SF,Fires,30457631.065131217,3.045763106513122
2025,25,South Africa,SF,ExtremeEvents,43468100.59260326,4.346810059260326
