Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Senegal,SG,Harvest,39931.69299316406,0.003993169299316406
2011,11,Senegal,SG,Fires,0,0
2011,11,Senegal,SG,ExtremeEvents,0,0
2012,12,Senegal,SG,Harvest,99962.60418701172,0.009996260418701173
2012,12,Senegal,SG,Fires,0,0
2012,12,Senegal,SG,ExtremeEvents,0,0
2013,13,Senegal,SG,Harvest,119974.29315185548,0.011997429315185548
2013,13,Senegal,SG,Fires,0,0
2013,13,Senegal,SG,ExtremeEvents,0,0
2014,14,Senegal,SG,Harvest,44337.12579345703,0.004433712579345703
2014,14,Senegal,SG,Fires,0,0
2014,14,Senegal,SG,ExtremeEvents,0,0
2015,15,Senegal,SG,Harvest,0,0
2015,15,Senegal,SG,Fires,0,0
2015,15,Senegal,SG,ExtremeEvents,0,0
2016,16,Senegal,SG,Harvest,0,0
2016,16,Senegal,SG,Fires,0,0
2016,16,Senegal,SG,ExtremeEvents,0,0
2017,17,Senegal,SG,Harvest,0,0
2017,17,Senegal,SG,Fires,0,0
2017,17,Senegal,SG,ExtremeEvents,0,0
2018,18,Senegal,SG,Harvest,0,0
2018,18,Senegal,SG,Fires,0,0
2018,18,Senegal,SG,ExtremeEvents,0,0
2019,19,Senegal,SG,Harvest,0,0
2019,19,Senegal,SG,Fires,0,0
2019,19,Senegal,SG,ExtremeEvents,0,0
2020,20,Senegal,SG,Harvest,0,0
2020,20,Senegal,SG,Fires,0,0
2020,20,Senegal,SG,ExtremeEvents,0,0
2021,21,Senegal,SG,Harvest,0,0
2021,21,Senegal,SG,Fires,0,0
2021,21,Senegal,SG,ExtremeEvents,0,0
2022,22,Senegal,SG,Harvest,0,0
2022,22,Senegal,SG,Fires,0,0
2022,22,Senegal,SG,ExtremeEvents,0,0
2023,23,Senegal,SG,Harvest,0,0
2023,23,Senegal,SG,Fires,0,0
2023,23,Senegal,SG,ExtremeEvents,0,0
2024,24,Senegal,SG,Harvest,0,0
2024,24,Senegal,SG,Fires,0,0
2024,24,Senegal,SG,ExtremeEvents,0,0
2025,25,Senegal,SG,Harvest,0,0
2025,25,Senegal,SG,Fires,0,0
2025,25,Senegal,SG,ExtremeEvents,0,0
