Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Sierra Leone,SL,Harvest,43329.48596191406,0.004332948596191407
2011,11,Sierra Leone,SL,Fires,0,0
2011,11,Sierra Leone,SL,ExtremeEvents,0,0
2012,12,Sierra Leone,SL,Harvest,238357.95961339612,0.023835795961339612
2012,12,Sierra Leone,SL,Fires,4424.7181396484375,4.4247181396484377e-4
2012,12,Sierra Leone,SL,ExtremeEvents,0,0
2013,13,Sierra Leone,SL,Harvest,292728.14197184244,0.029272814197184246
2013,13,Sierra Leone,SL,Fires,0,0
2013,13,Sierra Leone,SL,ExtremeEvents,0,0
2014,14,Sierra Leone,SL,Harvest,750139.8775900449,0.07501398775900449
2014,14,Sierra Leone,SL,Fires,8846.048583984375,8.846048583984375e-4
2014,14,Sierra Leone,SL,ExtremeEvents,0,0
2015,15,Sierra Leone,SL,Harvest,1121800.115377987,0.1121800115377987
2015,15,Sierra Leone,SL,Fires,11501.514709472656,0.0011501514709472656
2015,15,Sierra Leone,SL,ExtremeEvents,0,0
2016,16,Sierra Leone,SL,Harvest,988363.6301329369,0.09883636301329368
2016,16,Sierra Leone,SL,Fires,64602.91345214844,0.006460291345214844
2016,16,Sierra Leone,SL,ExtremeEvents,0,0
2017,17,Sierra Leone,SL,Harvest,643618.3140476601,0.064361831404766
2017,17,Sierra Leone,SL,Fires,8849.750427246094,8.849750427246094e-4
2017,17,Sierra Leone,SL,ExtremeEvents,0,0
2018,18,Sierra Leone,SL,Harvest,559914.4493408203,0.05599144493408203
2018,18,Sierra Leone,SL,Fires,2655.2444458007812,2.655244445800781e-4
2018,18,Sierra Leone,SL,ExtremeEvents,0,0
2019,19,Sierra Leone,SL,Harvest,523670.759540872,0.052367075954087204
2019,19,Sierra Leone,SL,Fires,0,0
2019,19,Sierra Leone,SL,ExtremeEvents,0,0
2020,20,Sierra Leone,SL,Harvest,657426.1963912664,0.06574261963912664
2020,20,Sierra Leone,SL,Fires,10841.2045663871,0.00108412045663871
2020,20,Sierra Leone,SL,ExtremeEvents,0,0
2021,21,Sierra Leone,SL,Harvest,469676.1057739257,0.04696761057739257
2021,21,Sierra Leone,SL,Fires,5309.48291015625,5.30948291015625e-4
2021,21,Sierra Leone,SL,ExtremeEvents,0,0
2022,22,Sierra Leone,SL,Harvest,404256.3084716797,0.04042563084716797
2022,22,Sierra Leone,SL,Fires,25666.08123779297,0.002566608123779297
2022,22,Sierra Leone,SL,ExtremeEvents,0,0
2023,23,Sierra Leone,SL,Harvest,760662.1193237305,0.07606621193237305
2023,23,Sierra Leone,SL,Fires,3539.05126953125,3.53905126953125e-4
2023,23,Sierra Leone,SL,ExtremeEvents,0,0
2024,24,Sierra Leone,SL,Harvest,361880.1873547124,0.03618801873547124
2024,24,Sierra Leone,SL,Fires,884.4813232421875,8.844813232421875e-5
2024,24,Sierra Leone,SL,ExtremeEvents,0,0
2025,25,Sierra Leone,SL,Harvest,525264.3401489258,0.05252643401489258
2025,25,Sierra Leone,SL,Fires,3538.7594604492188,3.538759460449219e-4
2025,25,Sierra Leone,SL,ExtremeEvents,0,0
