Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,San Marino,SM,Harvest,0,0
2011,11,San Marino,SM,Fires,0,0
2011,11,San Marino,SM,ExtremeEvents,0,0
2012,12,San Marino,SM,Harvest,4534.1634521484375,4.5341634521484374e-4
2012,12,San Marino,SM,Fires,0,0
2012,12,San Marino,SM,ExtremeEvents,0,0
2013,13,San Marino,SM,Harvest,1295.85302734375,1.29585302734375e-4
2013,13,San Marino,SM,Fires,0,0
2013,13,San Marino,SM,ExtremeEvents,0,0
2017,17,San Marino,SM,Harvest,2590.3737182617188,2.590373718261719e-4
2017,17,San Marino,SM,Fires,0,0
2017,17,San Marino,SM,ExtremeEvents,0,0
2019,19,San Marino,SM,Harvest,9070.675598144531,9.070675598144532e-4
2019,19,San Marino,SM,Fires,0,0
2019,19,San Marino,SM,ExtremeEvents,0,0
2020,20,San Marino,SM,Harvest,0,0
2020,20,San Marino,SM,Fires,0,0
2020,20,San Marino,SM,ExtremeEvents,0,0
2021,21,San Marino,SM,Harvest,0,0
2021,21,San Marino,SM,Fires,0,0
2021,21,San Marino,SM,ExtremeEvents,0,0
2023,23,San Marino,SM,Harvest,0,0
2023,23,San Marino,SM,Fires,0,0
2023,23,San Marino,SM,ExtremeEvents,0,0
2025,25,San Marino,SM,Harvest,1295.954345703125,1.295954345703125e-4
2025,25,San Marino,SM,Fires,0,0
2025,25,San Marino,SM,ExtremeEvents,0,0
