Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Singapore,SN,Harvest,122440.50128173828,0.012244050128173829
2011,11,Singapore,SN,Fires,893.712646484375,8.93712646484375e-5
2011,11,Singapore,SN,ExtremeEvents,0,0
2012,12,Singapore,SN,Harvest,92053.59216308595,0.009205359216308596
2012,12,Singapore,SN,Fires,1787.4483642578125,1.7874483642578125e-4
2012,12,Singapore,SN,ExtremeEvents,0,0
2013,13,Singapore,SN,Harvest,58438.74797028187,0.005843874797028187
2013,13,Singapore,SN,Fires,0,0
2013,13,Singapore,SN,ExtremeEvents,0,0
2014,14,Singapore,SN,Harvest,571235.5711339614,0.057123557113396145
2014,14,Singapore,SN,Fires,893.72528076171875,8.937252807617187e-5
2014,14,Singapore,SN,ExtremeEvents,0,0
2015,15,Singapore,SN,Harvest,231475.51599121097,0.023147551599121095
2015,15,Singapore,SN,Fires,0,0
2015,15,Singapore,SN,ExtremeEvents,0,0
2016,16,Singapore,SN,Harvest,126908.9453125,0.01269089453125
2016,16,Singapore,SN,Fires,0,0
2016,16,Singapore,SN,ExtremeEvents,0,0
2017,17,Singapore,SN,Harvest,565792.5266704485,0.056579252667044846
2017,17,Singapore,SN,Fires,2681.1852416992188,2.681185241699219e-4
2017,17,Singapore,SN,ExtremeEvents,0,0
2018,18,Singapore,SN,Harvest,1232060.7756335689,0.12320607756335689
2018,18,Singapore,SN,Fires,14299.608459472656,0.0014299608459472657
2018,18,Singapore,SN,ExtremeEvents,0,0
2019,19,Singapore,SN,Harvest,1355531.0310800588,0.1355531031080059
2019,19,Singapore,SN,Fires,11849.817535998774,0.0011849817535998775
2019,19,Singapore,SN,ExtremeEvents,0,0
2020,20,Singapore,SN,Harvest,502006.4203819125,0.05020064203819125
2020,20,Singapore,SN,Fires,8937.208679199219,8.937208679199219e-4
2020,20,Singapore,SN,ExtremeEvents,0,0
2021,21,Singapore,SN,Harvest,921843.6247043982,0.09218436247043982
2021,21,Singapore,SN,Fires,4468.599914550781,4.468599914550781e-4
2021,21,Singapore,SN,ExtremeEvents,0,0
2022,22,Singapore,SN,Harvest,546006.9480339498,0.05460069480339498
2022,22,Singapore,SN,Fires,3574.8790893554688,3.5748790893554687e-4
2022,22,Singapore,SN,ExtremeEvents,0,0
2023,23,Singapore,SN,Harvest,894616.392578125,0.0894616392578125
2023,23,Singapore,SN,Fires,4468.592590332031,4.468592590332031e-4
2023,23,Singapore,SN,ExtremeEvents,0,0
2024,24,Singapore,SN,Harvest,136739.59497070312,0.013673959497070313
2024,24,Singapore,SN,Fires,0,0
2024,24,Singapore,SN,ExtremeEvents,0,0
2025,25,Singapore,SN,Harvest,289557.2237613454,0.028955722376134536
2025,25,Singapore,SN,Fires,14299.577514648438,0.0014299577514648438
2025,25,Singapore,SN,ExtremeEvents,0,0
