Year,YearCode,Country,GEECode,name,Area_m2,value
2012,12,Somalia,SO,Harvest,0,0
2012,12,Somalia,SO,Fires,0,0
2012,12,Somalia,SO,ExtremeEvents,0,0
2013,13,Somalia,SO,Harvest,0,0
2013,13,Somalia,SO,Fires,0,0
2013,13,Somalia,SO,ExtremeEvents,0,0
2014,14,Somalia,SO,Harvest,0,0
2014,14,Somalia,SO,Fires,0,0
2014,14,Somalia,SO,ExtremeEvents,0,0
2011,11,Somalia,SO,Harvest,0,0
2011,11,Somalia,SO,Fires,0,0
2011,11,Somalia,SO,ExtremeEvents,0,0
2015,15,Somalia,SO,Harvest,0,0
2015,15,Somalia,SO,Fires,0,0
2015,15,Somalia,SO,ExtremeEvents,0,0
2016,16,Somalia,SO,Harvest,0,0
2016,16,Somalia,SO,Fires,0,0
2016,16,Somalia,SO,ExtremeEvents,0,0
2017,17,Somalia,SO,Harvest,0,0
2017,17,Somalia,SO,Fires,0,0
2017,17,Somalia,SO,ExtremeEvents,0,0
2018,18,Somalia,SO,Harvest,0,0
2018,18,Somalia,SO,Fires,0,0
2018,18,Somalia,SO,ExtremeEvents,0,0
2019,19,Somalia,SO,Harvest,0,0
2019,19,Somalia,SO,Fires,0,0
2019,19,Somalia,SO,ExtremeEvents,0,0
2020,20,Somalia,SO,Harvest,0,0
2020,20,Somalia,SO,Fires,0,0
2020,20,Somalia,SO,ExtremeEvents,0,0
2021,21,Somalia,SO,Harvest,0,0
2021,21,Somalia,SO,Fires,0,0
2021,21,Somalia,SO,ExtremeEvents,0,0
2022,22,Somalia,SO,Harvest,0,0
2022,22,Somalia,SO,Fires,0,0
2022,22,Somalia,SO,ExtremeEvents,0,0
2023,23,Somalia,SO,Harvest,0,0
2023,23,Somalia,SO,Fires,0,0
2023,23,Somalia,SO,ExtremeEvents,0,0
2024,24,Somalia,SO,Harvest,0,0
2024,24,Somalia,SO,Fires,0,0
2024,24,Somalia,SO,ExtremeEvents,0,0
2025,25,Somalia,SO,Harvest,0,0
2025,25,Somalia,SO,Fires,0,0
2025,25,Somalia,SO,ExtremeEvents,0,0
