Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Saint Lucia,ST,Harvest,0,0
2011,11,Saint Lucia,ST,Fires,0,0
2011,11,Saint Lucia,ST,ExtremeEvents,0,0
2012,12,Saint Lucia,ST,Harvest,0,0
2012,12,Saint Lucia,ST,Fires,0,0
2012,12,Saint Lucia,ST,ExtremeEvents,0,0
2013,13,Saint Lucia,ST,Harvest,0,0
2013,13,Saint Lucia,ST,Fires,0,0
2013,13,Saint Lucia,ST,ExtremeEvents,0,0
2014,14,Saint Lucia,ST,Harvest,0,0
2014,14,Saint Lucia,ST,Fires,0,0
2014,14,Saint Lucia,ST,ExtremeEvents,0,0
2015,15,Saint Lucia,ST,Harvest,0,0
2015,15,Saint Lucia,ST,Fires,0,0
2015,15,Saint Lucia,ST,ExtremeEvents,0,0
2016,16,Saint Lucia,ST,Harvest,0,0
2016,16,Saint Lucia,ST,Fires,0,0
2016,16,Saint Lucia,ST,ExtremeEvents,0,0
2017,17,Saint Lucia,ST,Harvest,0,0
2017,17,Saint Lucia,ST,Fires,0,0
2017,17,Saint Lucia,ST,ExtremeEvents,0,0
2018,18,Saint Lucia,ST,Harvest,0,0
2018,18,Saint Lucia,ST,Fires,0,0
2018,18,Saint Lucia,ST,ExtremeEvents,0,0
2019,19,Saint Lucia,ST,Harvest,0,0
2019,19,Saint Lucia,ST,Fires,0,0
2019,19,Saint Lucia,ST,ExtremeEvents,0,0
2020,20,Saint Lucia,ST,Harvest,0,0
2020,20,Saint Lucia,ST,Fires,0,0
2020,20,Saint Lucia,ST,ExtremeEvents,0,0
2021,21,Saint Lucia,ST,Harvest,0,0
2021,21,Saint Lucia,ST,Fires,0,0
2021,21,Saint Lucia,ST,ExtremeEvents,0,0
2022,22,Saint Lucia,ST,Harvest,0,0
2022,22,Saint Lucia,ST,Fires,0,0
2022,22,Saint Lucia,ST,ExtremeEvents,0,0
2023,23,Saint Lucia,ST,Harvest,0,0
2023,23,Saint Lucia,ST,Fires,0,0
2023,23,Saint Lucia,ST,ExtremeEvents,0,0
2024,24,Saint Lucia,ST,Harvest,0,0
2024,24,Saint Lucia,ST,Fires,0,0
2024,24,Saint Lucia,ST,ExtremeEvents,0,0
2025,25,Saint Lucia,ST,Harvest,0,0
2025,25,Saint Lucia,ST,Fires,0,0
2025,25,Saint Lucia,ST,ExtremeEvents,0,0
