Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Tajikistan,TI,Harvest,172829.76434326172,0.01728297643432617
2011,11,Tajikistan,TI,Fires,43427.85021972656,0.004342785021972656
2011,11,Tajikistan,TI,ExtremeEvents,0,0
2012,12,Tajikistan,TI,Harvest,176577.94574142154,0.017657794574142155
2012,12,Tajikistan,TI,Fires,134396.38342285156,0.013439638342285157
2012,12,Tajikistan,TI,ExtremeEvents,0,0
2013,13,Tajikistan,TI,Harvest,18858.321533203125,0.0018858321533203124
2013,13,Tajikistan,TI,Fires,10395.349243164062,0.0010395349243164063
2013,13,Tajikistan,TI,ExtremeEvents,0,0
2014,14,Tajikistan,TI,Harvest,7009.8748779296875,7.009874877929687e-4
2014,14,Tajikistan,TI,Fires,5721.088066549863,5.721088066549863e-4
2014,14,Tajikistan,TI,ExtremeEvents,0,0
2016,16,Tajikistan,TI,Harvest,0,0
2016,16,Tajikistan,TI,Fires,0,0
2016,16,Tajikistan,TI,ExtremeEvents,0,0
2017,17,Tajikistan,TI,Harvest,697.412353515625,6.97412353515625e-5
2017,17,Tajikistan,TI,Fires,710.441650390625,7.10441650390625e-5
2017,17,Tajikistan,TI,ExtremeEvents,0,0
2018,18,Tajikistan,TI,Harvest,0,0
2018,18,Tajikistan,TI,Fires,2789.741271972656,2.7897412719726555e-4
2018,18,Tajikistan,TI,ExtremeEvents,0,0
2019,19,Tajikistan,TI,Harvest,692.17950439453125,6.921795043945313e-5
2019,19,Tajikistan,TI,Fires,0,0
2019,19,Tajikistan,TI,ExtremeEvents,0,0
2020,20,Tajikistan,TI,Harvest,9210.236877441406,9.210236877441406e-4
2020,20,Tajikistan,TI,Fires,6416.685119628906,6.416685119628907e-4
2020,20,Tajikistan,TI,ExtremeEvents,0,0
2021,21,Tajikistan,TI,Harvest,0,0
2021,21,Tajikistan,TI,Fires,0,0
2021,21,Tajikistan,TI,ExtremeEvents,0,0
2022,22,Tajikistan,TI,Harvest,0,0
2022,22,Tajikistan,TI,Fires,3557.119079589844,3.557119079589844e-4
2022,22,Tajikistan,TI,ExtremeEvents,0,0
2023,23,Tajikistan,TI,Harvest,1422.4232177734375,1.4224232177734375e-4
2023,23,Tajikistan,TI,Fires,10670.057739257812,0.0010670057739257813
2023,23,Tajikistan,TI,ExtremeEvents,0,0
2024,24,Tajikistan,TI,Harvest,3990.7748003791367,3.990774800379137e-4
2024,24,Tajikistan,TI,Fires,3484.9569091796875,3.4849569091796877e-4
2024,24,Tajikistan,TI,ExtremeEvents,0,0
2025,25,Tajikistan,TI,Harvest,3527.106689453125,3.527106689453125e-4
2025,25,Tajikistan,TI,Fires,4208.171875,4.208171875e-4
2025,25,Tajikistan,TI,ExtremeEvents,0,0
