Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Tonga,TN,Harvest,0,0
2011,11,Tonga,TN,Fires,0,0
2011,11,Tonga,TN,ExtremeEvents,0,0
2012,12,Tonga,TN,Harvest,0,0
2012,12,Tonga,TN,Fires,0,0
2012,12,Tonga,TN,ExtremeEvents,0,0
2013,13,Tonga,TN,Harvest,0,0
2013,13,Tonga,TN,Fires,0,0
2013,13,Tonga,TN,ExtremeEvents,0,0
2014,14,Tonga,TN,Harvest,0,0
2014,14,Tonga,TN,Fires,0,0
2014,14,Tonga,TN,ExtremeEvents,0,0
2015,15,Tonga,TN,Harvest,0,0
2015,15,Tonga,TN,Fires,0,0
2015,15,Tonga,TN,ExtremeEvents,0,0
2016,16,Tonga,TN,Harvest,0,0
2016,16,Tonga,TN,Fires,0,0
2016,16,Tonga,TN,ExtremeEvents,0,0
2017,17,Tonga,TN,Harvest,0,0
2017,17,Tonga,TN,Fires,0,0
2017,17,Tonga,TN,ExtremeEvents,0,0
2018,18,Tonga,TN,Harvest,0,0
2018,18,Tonga,TN,Fires,0,0
2018,18,Tonga,TN,ExtremeEvents,0,0
2019,19,Tonga,TN,Harvest,0,0
2019,19,Tonga,TN,Fires,0,0
2019,19,Tonga,TN,ExtremeEvents,0,0
2020,20,Tonga,TN,Harvest,0,0
2020,20,Tonga,TN,Fires,0,0
2020,20,Tonga,TN,ExtremeEvents,0,0
2021,21,Tonga,TN,Harvest,0,0
2021,21,Tonga,TN,Fires,0,0
2021,21,Tonga,TN,ExtremeEvents,0,0
2022,22,Tonga,TN,Harvest,0,0
2022,22,Tonga,TN,Fires,0,0
2022,22,Tonga,TN,ExtremeEvents,0,0
2023,23,Tonga,TN,Harvest,0,0
2023,23,Tonga,TN,Fires,0,0
2023,23,Tonga,TN,ExtremeEvents,0,0
2024,24,Tonga,TN,Harvest,0,0
2024,24,Tonga,TN,Fires,0,0
2024,24,Tonga,TN,ExtremeEvents,0,0
2025,25,Tonga,TN,Harvest,0,0
2025,25,Tonga,TN,Fires,0,0
2025,25,Tonga,TN,ExtremeEvents,0,0
