Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Togo,TO,Harvest,0,0
2011,11,Togo,TO,Fires,0,0
2011,11,Togo,TO,ExtremeEvents,0,0
2012,12,Togo,TO,Harvest,0,0
2012,12,Togo,TO,Fires,0,0
2012,12,Togo,TO,ExtremeEvents,0,0
2013,13,Togo,TO,Harvest,0,0
2013,13,Togo,TO,Fires,0,0
2013,13,Togo,TO,ExtremeEvents,0,0
2014,14,Togo,TO,Harvest,0,0
2014,14,Togo,TO,Fires,0,0
2014,14,Togo,TO,ExtremeEvents,0,0
2015,15,Togo,TO,Harvest,0,0
2015,15,Togo,TO,Fires,0,0
2015,15,Togo,TO,ExtremeEvents,0,0
2016,16,Togo,TO,Harvest,0,0
2016,16,Togo,TO,Fires,0,0
2016,16,Togo,TO,ExtremeEvents,0,0
2017,17,Togo,TO,Harvest,0,0
2017,17,Togo,TO,Fires,0,0
2017,17,Togo,TO,ExtremeEvents,0,0
2018,18,Togo,TO,Harvest,0,0
2018,18,Togo,TO,Fires,0,0
2018,18,Togo,TO,ExtremeEvents,0,0
2019,19,Togo,TO,Harvest,0,0
2019,19,Togo,TO,Fires,0,0
2019,19,Togo,TO,ExtremeEvents,0,0
2020,20,Togo,TO,Harvest,0,0
2020,20,Togo,TO,Fires,0,0
2020,20,Togo,TO,ExtremeEvents,0,0
2021,21,Togo,TO,Harvest,0,0
2021,21,Togo,TO,Fires,0,0
2021,21,Togo,TO,ExtremeEvents,0,0
2022,22,Togo,TO,Harvest,0,0
2022,22,Togo,TO,Fires,0,0
2022,22,Togo,TO,ExtremeEvents,0,0
2023,23,Togo,TO,Harvest,0,0
2023,23,Togo,TO,Fires,0,0
2023,23,Togo,TO,ExtremeEvents,0,0
2024,24,Togo,TO,Harvest,0,0
2024,24,Togo,TO,Fires,0,0
2024,24,Togo,TO,ExtremeEvents,0,0
2025,25,Togo,TO,Harvest,0,0
2025,25,Togo,TO,Fires,0,0
2025,25,Togo,TO,ExtremeEvents,0,0
