Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Tunisia,TS,Harvest,4159491.166899558,0.4159491166899558
2011,11,Tunisia,TS,Fires,5250411.898742676,0.5250411898742676
2011,11,Tunisia,TS,ExtremeEvents,521517.0927734375,0.05215170927734375
2012,12,Tunisia,TS,Harvest,2453687.209335507,0.2453687209335507
2012,12,Tunisia,TS,Fires,2924171.8490600586,0.2924171849060059
2012,12,Tunisia,TS,ExtremeEvents,2374990.7220458984,0.23749907220458985
2013,13,Tunisia,TS,Harvest,2009922.878112793,0.20099228781127929
2013,13,Tunisia,TS,Fires,978996.9920654296,0.09789969920654296
2013,13,Tunisia,TS,ExtremeEvents,4797977.609375,0.4797977609375
2014,14,Tunisia,TS,Harvest,3815025.2558385525,0.3815025255838552
2014,14,Tunisia,TS,Fires,11550541.2276135,1.15505412276135
2014,14,Tunisia,TS,ExtremeEvents,321203.8701171875,0.03212038701171875
2015,15,Tunisia,TS,Harvest,2599240.9099638127,0.25992409099638125
2015,15,Tunisia,TS,Fires,9165432.441885434,0.9165432441885434
2015,15,Tunisia,TS,ExtremeEvents,107301.52362060548,0.010730152362060548
2016,16,Tunisia,TS,Harvest,2139944.662109377,0.21399446621093768
2016,16,Tunisia,TS,Fires,9480470.552001951,0.9480470552001952
2016,16,Tunisia,TS,ExtremeEvents,74400.39581298828,0.007440039581298828
2017,17,Tunisia,TS,Harvest,5721769.836203903,0.5721769836203903
2017,17,Tunisia,TS,Fires,70019738.22965208,7.0019738229652075
2017,17,Tunisia,TS,ExtremeEvents,93007.89739990234,0.009300789739990234
2018,18,Tunisia,TS,Harvest,2845218.196870692,0.2845218196870692
2018,18,Tunisia,TS,Fires,4919398.81117446,0.49193988111744597
2018,18,Tunisia,TS,ExtremeEvents,115906.44158935548,0.011590644158935548
2019,19,Tunisia,TS,Harvest,2840994.598564597,0.2840994598564597
2019,19,Tunisia,TS,Fires,365236.4948459999,0.03652364948459999
2019,19,Tunisia,TS,ExtremeEvents,23607.685791015625,0.0023607685791015623
2020,20,Tunisia,TS,Harvest,2217451.5294414447,0.22174515294414446
2020,20,Tunisia,TS,Fires,3178761.793915154,0.3178761793915154
2020,20,Tunisia,TS,ExtremeEvents,338330.5990600586,0.03383305990600586
2021,21,Tunisia,TS,Harvest,1551106.0446913764,0.15511060446913763
2021,21,Tunisia,TS,Fires,7557046.394014247,0.7557046394014246
2021,21,Tunisia,TS,ExtremeEvents,56518.85888671875,0.005651885888671875
2022,22,Tunisia,TS,Harvest,1698398.4678955078,0.16983984678955077
2022,22,Tunisia,TS,Fires,17963854.67134986,1.7963854671349861
2022,22,Tunisia,TS,ExtremeEvents,563690.411315918,0.056369041131591795
2023,23,Tunisia,TS,Harvest,4130013.0862565488,0.4130013086256549
2023,23,Tunisia,TS,Fires,31889649.76727295,3.188964976727295
2023,23,Tunisia,TS,ExtremeEvents,120886.52758789062,0.012088652758789063
2024,24,Tunisia,TS,Harvest,4920112.848562442,0.4920112848562442
2024,24,Tunisia,TS,Fires,9259762.512421492,0.9259762512421492
2024,24,Tunisia,TS,ExtremeEvents,145923.02655029297,0.014592302655029296
2025,25,Tunisia,TS,Harvest,6008367.763590254,0.6008367763590254
2025,25,Tunisia,TS,Fires,11513744.15702048,1.151374415702048
2025,25,Tunisia,TS,ExtremeEvents,349151.97216796875,0.034915197216796874
