Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Turkey,TU,Harvest,197486870.06928903,19.748687006928904
2011,11,Turkey,TU,Fires,15899778.734880276,1.5899778734880277
2011,11,Turkey,TU,ExtremeEvents,31085341.950476795,3.1085341950476795
2012,12,Turkey,TU,Harvest,215591846.23998517,21.559184623998515
2012,12,Turkey,TU,Fires,25112970.508898444,2.5112970508898442
2012,12,Turkey,TU,ExtremeEvents,63214520.938837275,6.321452093883727
2013,13,Turkey,TU,Harvest,189437090.6904187,18.94370906904187
2013,13,Turkey,TU,Fires,24395075.023364495,2.4395075023364496
2013,13,Turkey,TU,ExtremeEvents,50628177.67429965,5.062817767429965
2014,14,Turkey,TU,Harvest,205040949.84098354,20.504094984098355
2014,14,Turkey,TU,Fires,14826859.782653809,1.482685978265381
2014,14,Turkey,TU,ExtremeEvents,43435577.09888989,4.343557709888989
2015,15,Turkey,TU,Harvest,248408881.6457845,24.84088816457845
2015,15,Turkey,TU,Fires,9853689.276000977,0.9853689276000976
2015,15,Turkey,TU,ExtremeEvents,67069934.70581032,6.706993470581033
2016,16,Turkey,TU,Harvest,247270526.2809673,24.72705262809673
2016,16,Turkey,TU,Fires,15177260.519027172,1.5177260519027171
2016,16,Turkey,TU,ExtremeEvents,51142653.938367896,5.1142653938367895
2017,17,Turkey,TU,Harvest,306786283.6887597,30.67862836887597
2017,17,Turkey,TU,Fires,37802565.67272136,3.7802565672721364
2017,17,Turkey,TU,ExtremeEvents,67626081.07894693,6.762608107894693
2018,18,Turkey,TU,Harvest,358402849.9189186,35.84028499189186
2018,18,Turkey,TU,Fires,18993637.464820776,1.8993637464820776
2018,18,Turkey,TU,ExtremeEvents,49621137.89626297,4.962113789626297
2019,19,Turkey,TU,Harvest,365134072.63936555,36.51340726393656
2019,19,Turkey,TU,Fires,18998188.253974225,1.8998188253974226
2019,19,Turkey,TU,ExtremeEvents,81961948.09743197,8.196194809743197
2020,20,Turkey,TU,Harvest,406403276.0680772,40.64032760680772
2020,20,Turkey,TU,Fires,26191346.429614976,2.6191346429614977
2020,20,Turkey,TU,ExtremeEvents,110828110.54566532,11.082811054566532
2021,21,Turkey,TU,Harvest,529753714.41268474,52.97537144126847
2021,21,Turkey,TU,Fires,109069842.39205584,10.906984239205585
2021,21,Turkey,TU,ExtremeEvents,343545103.8026286,34.35451038026286
2022,22,Turkey,TU,Harvest,335147528.7654894,33.51475287654894
2022,22,Turkey,TU,Fires,66155574.649301566,6.6155574649301565
2022,22,Turkey,TU,ExtremeEvents,279550260.2016128,27.955026020161277
2023,23,Turkey,TU,Harvest,525721035.6659311,52.572103566593114
2023,23,Turkey,TU,Fires,37548047.05840395,3.7548047058403946
2023,23,Turkey,TU,ExtremeEvents,83744922.73751101,8.3744922737511
2024,24,Turkey,TU,Harvest,353512988.854306,35.3512988854306
2024,24,Turkey,TU,Fires,74562841.93955389,7.456284193955389
2024,24,Turkey,TU,ExtremeEvents,62422169.96915307,6.242216996915307
2025,25,Turkey,TU,Harvest,422502809.53641576,42.25028095364158
2025,25,Turkey,TU,Fires,303481908.8703111,30.34819088703111
2025,25,Turkey,TU,ExtremeEvents,188908641.52967793,18.890864152967794
