Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Tuvalu,TV,Harvest,0,0
2011,11,Tuvalu,TV,Fires,0,0
2011,11,Tuvalu,TV,ExtremeEvents,0,0
2012,12,Tuvalu,TV,Harvest,0,0
2012,12,Tuvalu,TV,Fires,0,0
2012,12,Tuvalu,TV,ExtremeEvents,0,0
2013,13,Tuvalu,TV,Harvest,0,0
2013,13,Tuvalu,TV,Fires,0,0
2013,13,Tuvalu,TV,ExtremeEvents,0,0
2014,14,Tuvalu,TV,Harvest,0,0
2014,14,Tuvalu,TV,Fires,0,0
2014,14,Tuvalu,TV,ExtremeEvents,0,0
2015,15,Tuvalu,TV,Harvest,0,0
2015,15,Tuvalu,TV,Fires,0,0
2015,15,Tuvalu,TV,ExtremeEvents,0,0
2016,16,Tuvalu,TV,Harvest,0,0
2016,16,Tuvalu,TV,Fires,0,0
2016,16,Tuvalu,TV,ExtremeEvents,0,0
2017,17,Tuvalu,TV,Harvest,0,0
2017,17,Tuvalu,TV,Fires,0,0
2017,17,Tuvalu,TV,ExtremeEvents,0,0
2018,18,Tuvalu,TV,Harvest,0,0
2018,18,Tuvalu,TV,Fires,0,0
2018,18,Tuvalu,TV,ExtremeEvents,0,0
2019,19,Tuvalu,TV,Harvest,0,0
2019,19,Tuvalu,TV,Fires,0,0
2019,19,Tuvalu,TV,ExtremeEvents,0,0
2020,20,Tuvalu,TV,Harvest,0,0
2020,20,Tuvalu,TV,Fires,0,0
2020,20,Tuvalu,TV,ExtremeEvents,0,0
2021,21,Tuvalu,TV,Harvest,0,0
2021,21,Tuvalu,TV,Fires,0,0
2021,21,Tuvalu,TV,ExtremeEvents,0,0
2022,22,Tuvalu,TV,Harvest,0,0
2022,22,Tuvalu,TV,Fires,0,0
2022,22,Tuvalu,TV,ExtremeEvents,0,0
2023,23,Tuvalu,TV,Harvest,0,0
2023,23,Tuvalu,TV,Fires,0,0
2023,23,Tuvalu,TV,ExtremeEvents,0,0
2024,24,Tuvalu,TV,Harvest,0,0
2024,24,Tuvalu,TV,Fires,0,0
2024,24,Tuvalu,TV,ExtremeEvents,0,0
2025,25,Tuvalu,TV,Harvest,0,0
2025,25,Tuvalu,TV,Fires,0,0
2025,25,Tuvalu,TV,ExtremeEvents,0,0
