Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,United Republic of Tanzania,TZ,Harvest,39273434.34454346,3.927343434454346
2011,11,United Republic of Tanzania,TZ,Fires,176600.9736328125,0.01766009736328125
2011,11,United Republic of Tanzania,TZ,ExtremeEvents,29270214.37261963,2.927021437261963
2012,12,United Republic of Tanzania,TZ,Harvest,64439185.61090088,6.443918561090088
2012,12,United Republic of Tanzania,TZ,Fires,192006.7728881836,0.01920067728881836
2012,12,United Republic of Tanzania,TZ,ExtremeEvents,22802111.59729004,2.280211159729004
2013,13,United Republic of Tanzania,TZ,Harvest,93065414.97296143,9.306541497296143
2013,13,United Republic of Tanzania,TZ,Fires,354583.4762573242,0.03545834762573242
2013,13,United Republic of Tanzania,TZ,ExtremeEvents,24812734.886535645,2.4812734886535646
2014,14,United Republic of Tanzania,TZ,Harvest,84072820.08355714,8.407282008355715
2014,14,United Republic of Tanzania,TZ,Fires,586577.2877197266,0.05865772877197266
2014,14,United Republic of Tanzania,TZ,ExtremeEvents,25663890.85369873,2.566389085369873
2015,15,United Republic of Tanzania,TZ,Harvest,48623442.29480196,4.862344229480196
2015,15,United Republic of Tanzania,TZ,Fires,305103.07066363166,0.030510307066363165
2015,15,United Republic of Tanzania,TZ,ExtremeEvents,16553637.420043943,1.6553637420043943
2016,16,United Republic of Tanzania,TZ,Harvest,78735322.50341797,7.873532250341797
2016,16,United Republic of Tanzania,TZ,Fires,288942.39301590266,0.028894239301590265
2016,16,United Republic of Tanzania,TZ,ExtremeEvents,22001473.10577393,2.200147310577393
2017,17,United Republic of Tanzania,TZ,Harvest,98604436.22375488,9.860443622375488
2017,17,United Republic of Tanzania,TZ,Fires,221838.87463378903,0.022183887463378904
2017,17,United Republic of Tanzania,TZ,ExtremeEvents,36750474.42651367,3.6750474426513673
2018,18,United Republic of Tanzania,TZ,Harvest,101231134.7925001,10.123113479250009
2018,18,United Republic of Tanzania,TZ,Fires,337963.18182373047,0.033796318182373046
2018,18,United Republic of Tanzania,TZ,ExtremeEvents,32181607.06152344,3.2181607061523443
2019,19,United Republic of Tanzania,TZ,Harvest,85290494.56036375,8.529049456036375
2019,19,United Republic of Tanzania,TZ,Fires,134775.4864501953,0.013477548645019531
2019,19,United Republic of Tanzania,TZ,ExtremeEvents,29143207.02911377,2.914320702911377
2020,20,United Republic of Tanzania,TZ,Harvest,118639615.84942627,11.863961584942627
2020,20,United Republic of Tanzania,TZ,Fires,257598.32122802737,0.025759832122802737
2020,20,United Republic of Tanzania,TZ,ExtremeEvents,39689790.128723145,3.9689790128723144
2021,21,United Republic of Tanzania,TZ,Harvest,116112349.32336426,11.611234932336426
2021,21,United Republic of Tanzania,TZ,Fires,413155.86181640625,0.04131558618164063
2021,21,United Republic of Tanzania,TZ,ExtremeEvents,47592944.49328613,4.759294449328613
2022,22,United Republic of Tanzania,TZ,Harvest,92998714.51257324,9.299871451257324
2022,22,United Republic of Tanzania,TZ,Fires,832726.3181152344,0.08327263181152343
2022,22,United Republic of Tanzania,TZ,ExtremeEvents,58291079.59387207,5.829107959387207
2023,23,United Republic of Tanzania,TZ,Harvest,108082547.92745936,10.808254792745936
2023,23,United Republic of Tanzania,TZ,Fires,1406573.9747924805,0.14065739747924805
2023,23,United Republic of Tanzania,TZ,ExtremeEvents,76868349.52893066,7.686834952893067
2024,24,United Republic of Tanzania,TZ,Harvest,103906035.97706324,10.390603597706324
2024,24,United Republic of Tanzania,TZ,Fires,689104.3573895623,0.06891043573895624
2024,24,United Republic of Tanzania,TZ,ExtremeEvents,63564934.66271973,6.3564934662719725
2025,25,United Republic of Tanzania,TZ,Harvest,77774160.61329155,7.777416061329155
2025,25,United Republic of Tanzania,TZ,Fires,276664.6181640625,0.02766646181640625
2025,25,United Republic of Tanzania,TZ,ExtremeEvents,43599660.82550049,4.359966082550049
