Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Uganda,UG,Harvest,2752943.4411621094,0.27529434411621095
2011,11,Uganda,UG,Fires,0,0
2011,11,Uganda,UG,ExtremeEvents,1497328.630065918,0.1497328630065918
2012,12,Uganda,UG,Harvest,1457157.7195590152,0.14571577195590152
2012,12,Uganda,UG,Fires,0,0
2012,12,Uganda,UG,ExtremeEvents,639172.5881958008,0.06391725881958008
2013,13,Uganda,UG,Harvest,5059221.354309082,0.5059221354309082
2013,13,Uganda,UG,Fires,0,0
2013,13,Uganda,UG,ExtremeEvents,1028918.3096313477,0.10289183096313477
2014,14,Uganda,UG,Harvest,4210945.1650390625,0.4210945165039062
2014,14,Uganda,UG,Fires,0,0
2014,14,Uganda,UG,ExtremeEvents,492519.16564941406,0.049251916564941406
2015,15,Uganda,UG,Harvest,5894067.837158203,0.5894067837158203
2015,15,Uganda,UG,Fires,0,0
2015,15,Uganda,UG,ExtremeEvents,1010958.715270996,0.1010958715270996
2016,16,Uganda,UG,Harvest,9645591.131225586,0.9645591131225586
2016,16,Uganda,UG,Fires,0,0
2016,16,Uganda,UG,ExtremeEvents,390621.4842529297,0.039062148425292965
2017,17,Uganda,UG,Harvest,13402483.500183107,1.3402483500183107
2017,17,Uganda,UG,Fires,0,0
2017,17,Uganda,UG,ExtremeEvents,480891.2762451172,0.048089127624511716
2018,18,Uganda,UG,Harvest,7603055.17388916,0.760305517388916
2018,18,Uganda,UG,Fires,0,0
2018,18,Uganda,UG,ExtremeEvents,488025.8254394531,0.04880258254394531
2019,19,Uganda,UG,Harvest,4012467.9095458984,0.40124679095458987
2019,19,Uganda,UG,Fires,0,0
2019,19,Uganda,UG,ExtremeEvents,728459.6964111328,0.07284596964111328
2020,20,Uganda,UG,Harvest,6287408.40625,0.628740840625
2020,20,Uganda,UG,Fires,0,0
2020,20,Uganda,UG,ExtremeEvents,672202.9984741211,0.06722029984741211
2021,21,Uganda,UG,Harvest,2301696.586364746,0.23016965863647462
2021,21,Uganda,UG,Fires,0,0
2021,21,Uganda,UG,ExtremeEvents,827734.3661499023,0.08277343661499023
2022,22,Uganda,UG,Harvest,1784127.5901489258,0.1784127590148926
2022,22,Uganda,UG,Fires,0,0
2022,22,Uganda,UG,ExtremeEvents,559542.2424316406,0.05595422424316406
2023,23,Uganda,UG,Harvest,3843001.618732048,0.3843001618732048
2023,23,Uganda,UG,Fires,0,0
2023,23,Uganda,UG,ExtremeEvents,797299.53515625,0.079729953515625
2024,24,Uganda,UG,Harvest,2017395.7432861328,0.20173957432861328
2024,24,Uganda,UG,Fires,0,0
2024,24,Uganda,UG,ExtremeEvents,330721.43829345703,0.0330721438293457
2025,25,Uganda,UG,Harvest,829488.0107421875,0.08294880107421874
2025,25,Uganda,UG,Fires,0,0
2025,25,Uganda,UG,ExtremeEvents,240441.56372070312,0.024044156372070313
