Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,U.K. of Great Britain and Northern Ireland,UK,Harvest,124002335.71441585,12.400233571441586
2011,11,U.K. of Great Britain and Northern Ireland,UK,Fires,7637857.582592773,0.7637857582592773
2011,11,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,89468657.29903576,8.946865729903577
2012,12,U.K. of Great Britain and Northern Ireland,UK,Harvest,211299104.38651383,21.129910438651383
2012,12,U.K. of Great Britain and Northern Ireland,UK,Fires,15412232.282955153,1.5412232282955154
2012,12,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,123671589.88244128,12.367158988244128
2013,13,U.K. of Great Britain and Northern Ireland,UK,Harvest,198975502.69079795,19.897550269079794
2013,13,U.K. of Great Britain and Northern Ireland,UK,Fires,6643813.739981737,0.6643813739981737
2013,13,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,73332061.82090023,7.333206182090023
2014,14,U.K. of Great Britain and Northern Ireland,UK,Harvest,219985505.1907262,21.99855051907262
2014,14,U.K. of Great Britain and Northern Ireland,UK,Fires,3857167.3892822266,0.38571673892822267
2014,14,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,73856618.16155156,7.385661816155157
2015,15,U.K. of Great Britain and Northern Ireland,UK,Harvest,173377982.08573094,17.337798208573094
2015,15,U.K. of Great Britain and Northern Ireland,UK,Fires,1041233.5071105956,0.10412335071105956
2015,15,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,60960092.07621687,6.0960092076216865
2016,16,U.K. of Great Britain and Northern Ireland,UK,Harvest,206715013.1753595,20.67150131753595
2016,16,U.K. of Great Britain and Northern Ireland,UK,Fires,2210999.375579834,0.2210999375579834
2016,16,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,73421189.26945968,7.342118926945968
2017,17,U.K. of Great Britain and Northern Ireland,UK,Harvest,174014460.98049998,17.40144609805
2017,17,U.K. of Great Britain and Northern Ireland,UK,Fires,2045750.7441101072,0.20457507441101072
2017,17,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,50129092.93043248,5.012909293043248
2018,18,U.K. of Great Britain and Northern Ireland,UK,Harvest,186316514.19254005,18.631651419254005
2018,18,U.K. of Great Britain and Northern Ireland,UK,Fires,771083.2216796875,0.07710832216796876
2018,18,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,70239104.79884547,7.023910479884547
2019,19,U.K. of Great Britain and Northern Ireland,UK,Harvest,207810159.42773494,20.781015942773493
2019,19,U.K. of Great Britain and Northern Ireland,UK,Fires,1556436.1092834473,0.15564361092834472
2019,19,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,66470300.32465593,6.647030032465593
2020,20,U.K. of Great Britain and Northern Ireland,UK,Harvest,158640508.35613725,15.864050835613725
2020,20,U.K. of Great Britain and Northern Ireland,UK,Fires,697174.8551025391,0.0697174855102539
2020,20,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,63993678.431464106,6.39936784314641
2021,21,U.K. of Great Britain and Northern Ireland,UK,Harvest,187200667.5627929,18.72006675627929
2021,21,U.K. of Great Britain and Northern Ireland,UK,Fires,923958.8846130372,0.09239588846130373
2021,21,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,68915127.13591094,6.891512713591094
2022,22,U.K. of Great Britain and Northern Ireland,UK,Harvest,216631192.02185625,21.663119202185626
2022,22,U.K. of Great Britain and Northern Ireland,UK,Fires,818643.7740681967,0.08186437740681966
2022,22,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,116579918.47880788,11.657991847880789
2023,23,U.K. of Great Britain and Northern Ireland,UK,Harvest,145764173.38878858,14.576417338878858
2023,23,U.K. of Great Britain and Northern Ireland,UK,Fires,411075.2754749971,0.04110752754749971
2023,23,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,64486001.11820452,6.448600111820452
2024,24,U.K. of Great Britain and Northern Ireland,UK,Harvest,149872972.27865696,14.987297227865696
2024,24,U.K. of Great Britain and Northern Ireland,UK,Fires,572111.3815307617,0.05721113815307617
2024,24,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,73537144.03756091,7.353714403756091
2025,25,U.K. of Great Britain and Northern Ireland,UK,Harvest,186704220.10041684,18.670422010041683
2025,25,U.K. of Great Britain and Northern Ireland,UK,Fires,567632.3130493164,0.05676323130493164
2025,25,U.K. of Great Britain and Northern Ireland,UK,ExtremeEvents,72384821.17867073,7.238482117867074
