Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Ukraine,UP,Harvest,487742719.6150919,48.77427196150919
2011,11,Ukraine,UP,Fires,14460906.53849882,1.4460906538498821
2011,11,Ukraine,UP,ExtremeEvents,98410580.80169009,9.84105808016901
2012,12,Ukraine,UP,Harvest,462540538.99737906,46.254053899737904
2012,12,Ukraine,UP,Fires,14243558.555600155,1.4243558555600155
2012,12,Ukraine,UP,ExtremeEvents,72882006.19282058,7.288200619282058
2013,13,Ukraine,UP,Harvest,313376584.73470294,31.337658473470295
2013,13,Ukraine,UP,Fires,2757379.7082177256,0.27573797082177254
2013,13,Ukraine,UP,ExtremeEvents,56224740.07024237,5.622474007024237
2014,14,Ukraine,UP,Harvest,401935875.93397576,40.193587593397574
2014,14,Ukraine,UP,Fires,4519522.374450684,0.45195223744506835
2014,14,Ukraine,UP,ExtremeEvents,59713803.38302121,5.971380338302121
2015,15,Ukraine,UP,Harvest,398228140.96144134,39.822814096144135
2015,15,Ukraine,UP,Fires,6964807.53937342,0.696480753937342
2015,15,Ukraine,UP,ExtremeEvents,75723751.92739737,7.572375192739737
2016,16,Ukraine,UP,Harvest,749067726.6244342,74.90677266244343
2016,16,Ukraine,UP,Fires,80810850.08453393,8.081085008453393
2016,16,Ukraine,UP,ExtremeEvents,210250678.50459152,21.025067850459152
2017,17,Ukraine,UP,Harvest,702011540.8069681,70.20115408069681
2017,17,Ukraine,UP,Fires,14498118.534387926,1.4498118534387925
2017,17,Ukraine,UP,ExtremeEvents,124208631.24638768,12.420863124638768
2018,18,Ukraine,UP,Harvest,589559686.934108,58.9559686934108
2018,18,Ukraine,UP,Fires,12803876.421760589,1.280387642176059
2018,18,Ukraine,UP,ExtremeEvents,125861524.7890053,12.58615247890053
2019,19,Ukraine,UP,Harvest,371048881.8300465,37.10488818300465
2019,19,Ukraine,UP,Fires,24787448.321391985,2.4787448321391983
2019,19,Ukraine,UP,ExtremeEvents,45304950.20681822,4.530495020681823
2020,20,Ukraine,UP,Harvest,445493318.22361076,44.549331822361076
2020,20,Ukraine,UP,Fires,80182058.25628829,8.01820582562883
2020,20,Ukraine,UP,ExtremeEvents,245009608.44566095,24.500960844566094
2021,21,Ukraine,UP,Harvest,395778701.59877044,39.577870159877044
2021,21,Ukraine,UP,Fires,15209098.291952694,1.5209098291952694
2021,21,Ukraine,UP,ExtremeEvents,235706866.6249588,23.57068666249588
2022,22,Ukraine,UP,Harvest,333115876.241266,33.3115876241266
2022,22,Ukraine,UP,Fires,12185710.100738885,1.2185710100738885
2022,22,Ukraine,UP,ExtremeEvents,120368619.70932785,12.036861970932785
2023,23,Ukraine,UP,Harvest,405967208.4444276,40.596720844442764
2023,23,Ukraine,UP,Fires,20290636.76606254,2.029063676606254
2023,23,Ukraine,UP,ExtremeEvents,223550114.2684585,22.35501142684585
2024,24,Ukraine,UP,Harvest,358404795.60998905,35.84047956099891
2024,24,Ukraine,UP,Fires,21659159.02631956,2.165915902631956
2024,24,Ukraine,UP,ExtremeEvents,378932919.5095601,37.89329195095601
2025,25,Ukraine,UP,Harvest,423230598.8065063,42.323059880650625
2025,25,Ukraine,UP,Fires,50628490.49109054,5.0628490491090545
2025,25,Ukraine,UP,ExtremeEvents,219275626.51117012,21.92756265111701
