Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,United States of America,US,Harvest,11242019828.228088,1124.2019828228088
2011,11,United States of America,US,Fires,1617680034.1945772,161.76800341945773
2011,11,United States of America,US,ExtremeEvents,3042438481.4861917,304.2438481486192
2012,12,United States of America,US,Harvest,13312835649.418528,1331.2835649418528
2012,12,United States of America,US,Fires,2727873374.321291,272.7873374321291
2012,12,United States of America,US,ExtremeEvents,3219075435.3942757,321.9075435394276
2013,13,United States of America,US,Harvest,11467041451.277899,1146.7041451277898
2013,13,United States of America,US,Fires,3625356450.450129,362.5356450450129
2013,13,United States of America,US,ExtremeEvents,2586375805.282532,258.63758052825324
2014,14,United States of America,US,Harvest,12617473155.642408,1261.7473155642408
2014,14,United States of America,US,Fires,2132886349.421337,213.28863494213368
2014,14,United States of America,US,ExtremeEvents,3137534906.218149,313.75349062181493
2015,15,United States of America,US,Harvest,11808257846.974373,1180.8257846974373
2015,15,United States of America,US,Fires,9663677196.699184,966.3677196699184
2015,15,United States of America,US,ExtremeEvents,2448464159.5510182,244.84641595510183
2016,16,United States of America,US,Harvest,14422690204.213299,1442.26902042133
2016,16,United States of America,US,Fires,5597799068.053516,559.7799068053516
2016,16,United States of America,US,ExtremeEvents,3313513237.8817515,331.35132378817514
2017,17,United States of America,US,Harvest,15070450743.88381,1507.045074388381
2017,17,United States of America,US,Fires,5321363256.749343,532.1363256749343
2017,17,United States of America,US,ExtremeEvents,3630007470.5502257,363.0007470550226
2018,18,United States of America,US,Harvest,12919744908.423252,1291.9744908423252
2018,18,United States of America,US,Fires,5004522325.53778,500.452232553778
2018,18,United States of America,US,ExtremeEvents,3635045614.511017,363.50456145110167
2019,19,United States of America,US,Harvest,12217913232.143484,1221.7913232143485
2019,19,United States of America,US,Fires,6120457658.914825,612.0457658914826
2019,19,United States of America,US,ExtremeEvents,3442938650.788919,344.2938650788919
2020,20,United States of America,US,Harvest,11160779009.259438,1116.0779009259438
2020,20,United States of America,US,Fires,5409468018.148766,540.9468018148766
2020,20,United States of America,US,ExtremeEvents,4041690929.596196,404.1690929596196
2021,21,United States of America,US,Harvest,10414687349.871622,1041.4687349871622
2021,21,United States of America,US,Fires,6378930764.762708,637.8930764762707
2021,21,United States of America,US,ExtremeEvents,4557935425.105436,455.79354251054366
2022,22,United States of America,US,Harvest,11017061686.405483,1101.7061686405484
2022,22,United States of America,US,Fires,9003303458.516094,900.3303458516094
2022,22,United States of America,US,ExtremeEvents,2789069616.975743,278.9069616975743
2023,23,United States of America,US,Harvest,9803678153.082249,980.3678153082249
2023,23,United States of America,US,Fires,2412629109.098008,241.2629109098008
2023,23,United States of America,US,ExtremeEvents,1974756220.304028,197.4756220304028
2024,24,United States of America,US,Harvest,9586128243.766382,958.6128243766382
2024,24,United States of America,US,Fires,4281937471.491955,428.1937471491955
2024,24,United States of America,US,ExtremeEvents,3384126036.969858,338.4126036969858
2025,25,United States of America,US,Harvest,9285373848.423563,928.5373848423563
2025,25,United States of America,US,Fires,4651610038.972429,465.16100389724295
2025,25,United States of America,US,ExtremeEvents,2748592536.8654766,274.8592536865477
