Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Uruguay,UY,Harvest,79608606.44992384,7.960860644992384
2011,11,Uruguay,UY,Fires,1491727.8508911133,0.14917278508911133
2011,11,Uruguay,UY,ExtremeEvents,182541022.92340136,18.254102292340136
2012,12,Uruguay,UY,Harvest,84708974.29204535,8.470897429204536
2012,12,Uruguay,UY,Fires,3146860.775695801,0.31468607756958006
2012,12,Uruguay,UY,ExtremeEvents,194625733.2209128,19.46257332209128
2013,13,Uruguay,UY,Harvest,49289438.23219907,4.928943823219908
2013,13,Uruguay,UY,Fires,2665134.8283928367,0.26651348283928367
2013,13,Uruguay,UY,ExtremeEvents,119508413.00346178,11.950841300346179
2014,14,Uruguay,UY,Harvest,73374530.02984187,7.337453002984187
2014,14,Uruguay,UY,Fires,3005576.977355957,0.3005576977355957
2014,14,Uruguay,UY,ExtremeEvents,161858984.302046,16.1858984302046
2015,15,Uruguay,UY,Harvest,56352884.40229924,5.635288440229924
2015,15,Uruguay,UY,Fires,596356.743766276,0.059635674376627604
2015,15,Uruguay,UY,ExtremeEvents,106247564.88878556,10.624756488878555
2016,16,Uruguay,UY,Harvest,73962588.2065916,7.396258820659161
2016,16,Uruguay,UY,Fires,1448128.71938692,0.14481287193869202
2016,16,Uruguay,UY,ExtremeEvents,146225788.62036014,14.622578862036013
2017,17,Uruguay,UY,Harvest,72849569.97902712,7.284956997902712
2017,17,Uruguay,UY,Fires,3395996.9938581875,0.33959969938581874
2017,17,Uruguay,UY,ExtremeEvents,117549929.72994864,11.754992972994865
2018,18,Uruguay,UY,Harvest,63542531.68874894,6.354253168874894
2018,18,Uruguay,UY,Fires,1826039.836791992,0.1826039836791992
2018,18,Uruguay,UY,ExtremeEvents,113852226.57463355,11.385222657463355
2019,19,Uruguay,UY,Harvest,59869492.27450548,5.986949227450548
2019,19,Uruguay,UY,Fires,651524.4237670898,0.06515244237670899
2019,19,Uruguay,UY,ExtremeEvents,76479981.74704374,7.647998174704374
2020,20,Uruguay,UY,Harvest,47865272.60789676,4.786527260789676
2020,20,Uruguay,UY,Fires,633505.5360320447,0.06335055360320446
2020,20,Uruguay,UY,ExtremeEvents,70072310.716796875,7.007231071679687
2021,21,Uruguay,UY,Harvest,66650685.565081924,6.665068556508192
2021,21,Uruguay,UY,Fires,2355800.134033203,0.23558001340332033
2021,21,Uruguay,UY,ExtremeEvents,88514943.97756395,8.851494397756396
2022,22,Uruguay,UY,Harvest,60838657.49717778,6.083865749717778
2022,22,Uruguay,UY,Fires,771578.6291053921,0.07715786291053922
2022,22,Uruguay,UY,ExtremeEvents,82456553.69958496,8.245655369958497
2023,23,Uruguay,UY,Harvest,67187372.66680093,6.718737266680093
2023,23,Uruguay,UY,Fires,4869275.4287109375,0.48692754287109374
2023,23,Uruguay,UY,ExtremeEvents,117732338.97828226,11.773233897828225
2024,24,Uruguay,UY,Harvest,48850962.34698486,4.885096234698486
2024,24,Uruguay,UY,Fires,1041500.7861782896,0.10415007861782896
2024,24,Uruguay,UY,ExtremeEvents,53875929.53575081,5.387592953575081
2025,25,Uruguay,UY,Harvest,30215107.128539808,3.021510712853981
2025,25,Uruguay,UY,Fires,661853.91650390625,0.06618539165039063
2025,25,Uruguay,UY,ExtremeEvents,52645310.96771025,5.264531096771025
