Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Uzbekistan,UZ,Harvest,305144.22674560547,0.030514422674560546
2011,11,Uzbekistan,UZ,Fires,16218.501770019531,0.0016218501770019532
2011,11,Uzbekistan,UZ,ExtremeEvents,0,0
2012,12,Uzbekistan,UZ,Harvest,376587.89752197266,0.03765878975219727
2012,12,Uzbekistan,UZ,Fires,182463.1317138672,0.018246313171386717
2012,12,Uzbekistan,UZ,ExtremeEvents,0,0
2013,13,Uzbekistan,UZ,Harvest,88869.41973876953,0.008886941973876954
2013,13,Uzbekistan,UZ,Fires,65647.20086669922,0.006564720086669922
2013,13,Uzbekistan,UZ,ExtremeEvents,0,0
2014,14,Uzbekistan,UZ,Harvest,7374.628234863283,7.374628234863283e-4
2014,14,Uzbekistan,UZ,Fires,8210.249450683594,8.210249450683594e-4
2014,14,Uzbekistan,UZ,ExtremeEvents,0,0
2016,16,Uzbekistan,UZ,Harvest,0,0
2016,16,Uzbekistan,UZ,Fires,0,0
2016,16,Uzbekistan,UZ,ExtremeEvents,0,0
2017,17,Uzbekistan,UZ,Harvest,21702.499999999996,0.0021702499999999994
2017,17,Uzbekistan,UZ,Fires,4145.5025634765625,4.1455025634765623e-4
2017,17,Uzbekistan,UZ,ExtremeEvents,0,0
2018,18,Uzbekistan,UZ,Harvest,675.26055908203125,6.752605590820312e-5
2018,18,Uzbekistan,UZ,Fires,0,0
2018,18,Uzbekistan,UZ,ExtremeEvents,0,0
2019,19,Uzbekistan,UZ,Harvest,119987.95715332031,0.011998795715332031
2019,19,Uzbekistan,UZ,Fires,5418.512634277344,5.418512634277344e-4
2019,19,Uzbekistan,UZ,ExtremeEvents,0,0
2020,20,Uzbekistan,UZ,Harvest,24615.086486816406,0.002461508648681641
2020,20,Uzbekistan,UZ,Fires,0,0
2020,20,Uzbekistan,UZ,ExtremeEvents,0,0
2021,21,Uzbekistan,UZ,Harvest,36070.7738647461,0.00360707738647461
2021,21,Uzbekistan,UZ,Fires,6766.5484619140625,6.766548461914063e-4
2021,21,Uzbekistan,UZ,ExtremeEvents,0,0
2022,22,Uzbekistan,UZ,Harvest,14972.576904296875,0.0014972576904296875
2022,22,Uzbekistan,UZ,Fires,53986.69696044922,0.005398669696044922
2022,22,Uzbekistan,UZ,ExtremeEvents,0,0
2023,23,Uzbekistan,UZ,Harvest,16895.03826904297,0.001689503826904297
2023,23,Uzbekistan,UZ,Fires,0,0
2023,23,Uzbekistan,UZ,ExtremeEvents,0,0
2024,24,Uzbekistan,UZ,Harvest,26302.906005859375,0.0026302906005859373
2024,24,Uzbekistan,UZ,Fires,12140.123107910156,0.0012140123107910155
2024,24,Uzbekistan,UZ,ExtremeEvents,0,0
2025,25,Uzbekistan,UZ,Harvest,61447.843200683594,0.006144784320068359
2025,25,Uzbekistan,UZ,Fires,18898.608337402344,0.0018898608337402343
2025,25,Uzbekistan,UZ,ExtremeEvents,0,0
