Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Saint Vincent and the Grenadines,VC,Harvest,0,0
2011,11,Saint Vincent and the Grenadines,VC,Fires,0,0
2011,11,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2012,12,Saint Vincent and the Grenadines,VC,Harvest,0,0
2012,12,Saint Vincent and the Grenadines,VC,Fires,0,0
2012,12,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2013,13,Saint Vincent and the Grenadines,VC,Harvest,0,0
2013,13,Saint Vincent and the Grenadines,VC,Fires,0,0
2013,13,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2014,14,Saint Vincent and the Grenadines,VC,Harvest,0,0
2014,14,Saint Vincent and the Grenadines,VC,Fires,0,0
2014,14,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2015,15,Saint Vincent and the Grenadines,VC,Harvest,0,0
2015,15,Saint Vincent and the Grenadines,VC,Fires,0,0
2015,15,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2016,16,Saint Vincent and the Grenadines,VC,Harvest,0,0
2016,16,Saint Vincent and the Grenadines,VC,Fires,0,0
2016,16,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2017,17,Saint Vincent and the Grenadines,VC,Harvest,0,0
2017,17,Saint Vincent and the Grenadines,VC,Fires,0,0
2017,17,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2018,18,Saint Vincent and the Grenadines,VC,Harvest,0,0
2018,18,Saint Vincent and the Grenadines,VC,Fires,0,0
2018,18,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2019,19,Saint Vincent and the Grenadines,VC,Harvest,0,0
2019,19,Saint Vincent and the Grenadines,VC,Fires,0,0
2019,19,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2020,20,Saint Vincent and the Grenadines,VC,Harvest,0,0
2020,20,Saint Vincent and the Grenadines,VC,Fires,0,0
2020,20,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2021,21,Saint Vincent and the Grenadines,VC,Harvest,0,0
2021,21,Saint Vincent and the Grenadines,VC,Fires,0,0
2021,21,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2022,22,Saint Vincent and the Grenadines,VC,Harvest,0,0
2022,22,Saint Vincent and the Grenadines,VC,Fires,0,0
2022,22,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2023,23,Saint Vincent and the Grenadines,VC,Harvest,0,0
2023,23,Saint Vincent and the Grenadines,VC,Fires,0,0
2023,23,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2024,24,Saint Vincent and the Grenadines,VC,Harvest,0,0
2024,24,Saint Vincent and the Grenadines,VC,Fires,0,0
2024,24,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
2025,25,Saint Vincent and the Grenadines,VC,Harvest,0,0
2025,25,Saint Vincent and the Grenadines,VC,Fires,0,0
2025,25,Saint Vincent and the Grenadines,VC,ExtremeEvents,0,0
