Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Viet Nam,VM,Harvest,186713478.30556548,18.67134783055655
2011,11,Viet Nam,VM,Fires,2049460.982532217,0.2049460982532217
2011,11,Viet Nam,VM,ExtremeEvents,74819797.26605225,7.481979726605225
2012,12,Viet Nam,VM,Harvest,249991881.4997159,24.99918814997159
2012,12,Viet Nam,VM,Fires,3899390.615724332,0.38993906157243324
2012,12,Viet Nam,VM,ExtremeEvents,178315209.4586002,17.83152094586002
2013,13,Viet Nam,VM,Harvest,287613013.31102324,28.761301331102324
2013,13,Viet Nam,VM,Fires,1645987.9877764534,0.16459879877764533
2013,13,Viet Nam,VM,ExtremeEvents,162907679.70131692,16.290767970131693
2014,14,Viet Nam,VM,Harvest,431339783.162616,43.133978316261604
2014,14,Viet Nam,VM,Fires,3638495.0694374233,0.36384950694374235
2014,14,Viet Nam,VM,ExtremeEvents,240942014.58938253,24.094201458938254
2015,15,Viet Nam,VM,Harvest,485151919.9648237,48.51519199648237
2015,15,Viet Nam,VM,Fires,3145037.8865162567,0.31450378865162565
2015,15,Viet Nam,VM,ExtremeEvents,331946683.1885462,33.19466831885462
2016,16,Viet Nam,VM,Harvest,688461081.1987946,68.84610811987946
2016,16,Viet Nam,VM,Fires,6583181.289424403,0.6583181289424402
2016,16,Viet Nam,VM,ExtremeEvents,480293208.4109042,48.029320841090424
2017,17,Viet Nam,VM,Harvest,594610754.4889965,59.46107544889965
2017,17,Viet Nam,VM,Fires,3967792.5717277974,0.39677925717277973
2017,17,Viet Nam,VM,ExtremeEvents,394425316.43180865,39.442531643180864
2018,18,Viet Nam,VM,Harvest,485577298.9413134,48.55772989413134
2018,18,Viet Nam,VM,Fires,3629335.296316588,0.36293352963165876
2018,18,Viet Nam,VM,ExtremeEvents,314635182.6251962,31.46351826251962
2019,19,Viet Nam,VM,Harvest,463241643.12987924,46.324164312987925
2019,19,Viet Nam,VM,Fires,5549176.647139247,0.5549176647139247
2019,19,Viet Nam,VM,ExtremeEvents,286042097.8269273,28.60420978269273
2020,20,Viet Nam,VM,Harvest,459412578.0936775,45.941257809367755
2020,20,Viet Nam,VM,Fires,4132617.46388466,0.413261746388466
2020,20,Viet Nam,VM,ExtremeEvents,263171391.48461077,26.317139148461077
2021,21,Viet Nam,VM,Harvest,445079213.92649734,44.507921392649735
2021,21,Viet Nam,VM,Fires,5179576.7241175035,0.5179576724117504
2021,21,Viet Nam,VM,ExtremeEvents,257984900.9684997,25.798490096849967
2022,22,Viet Nam,VM,Harvest,402901510.8294046,40.29015108294046
2022,22,Viet Nam,VM,Fires,3401973.570123171,0.34019735701231707
2022,22,Viet Nam,VM,ExtremeEvents,172530539.28259066,17.253053928259067
2023,23,Viet Nam,VM,Harvest,320936820.7594414,32.09368207594414
2023,23,Viet Nam,VM,Fires,3310833.330871582,0.3310833330871582
2023,23,Viet Nam,VM,ExtremeEvents,121950387.58243932,12.195038758243932
2024,24,Viet Nam,VM,Harvest,276457047.6166827,27.64570476166827
2024,24,Viet Nam,VM,Fires,2862188.8878097236,0.28621888878097235
2024,24,Viet Nam,VM,ExtremeEvents,105894714.7225215,10.58947147225215
2025,25,Viet Nam,VM,Harvest,261386395.63519853,26.138639563519853
2025,25,Viet Nam,VM,Fires,2328941.801418649,0.23289418014186491
2025,25,Viet Nam,VM,ExtremeEvents,103047377.18855532,10.304737718855531
