Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Namibia,WA,Harvest,353130.2060546875,0.03531302060546875
2011,11,Namibia,WA,Fires,0,0
2011,11,Namibia,WA,ExtremeEvents,0,0
2012,12,Namibia,WA,Harvest,56279.940673828125,0.005627994067382813
2012,12,Namibia,WA,Fires,0,0
2012,12,Namibia,WA,ExtremeEvents,0,0
2013,13,Namibia,WA,Harvest,94644.1185913086,0.00946441185913086
2013,13,Namibia,WA,Fires,0,0
2013,13,Namibia,WA,ExtremeEvents,0,0
2014,14,Namibia,WA,Harvest,117657.17163085938,0.011765717163085937
2014,14,Namibia,WA,Fires,0,0
2014,14,Namibia,WA,ExtremeEvents,0,0
2015,15,Namibia,WA,Harvest,0,0
2015,15,Namibia,WA,Fires,0,0
2015,15,Namibia,WA,ExtremeEvents,0,0
2016,16,Namibia,WA,Harvest,10216.0537109375,0.00102160537109375
2016,16,Namibia,WA,Fires,0,0
2016,16,Namibia,WA,ExtremeEvents,0,0
2017,17,Namibia,WA,Harvest,186697.27081298828,0.01866972708129883
2017,17,Namibia,WA,Fires,0,0
2017,17,Namibia,WA,ExtremeEvents,0,0
2018,18,Namibia,WA,Harvest,122666.05688476562,0.012266605688476562
2018,18,Namibia,WA,Fires,0,0
2018,18,Namibia,WA,ExtremeEvents,0,0
2019,19,Namibia,WA,Harvest,40906.45294189453,0.004090645294189453
2019,19,Namibia,WA,Fires,0,0
2019,19,Namibia,WA,ExtremeEvents,0,0
2020,20,Namibia,WA,Harvest,113512.16408284506,0.011351216408284506
2020,20,Namibia,WA,Fires,0,0
2020,20,Namibia,WA,ExtremeEvents,0,0
2021,21,Namibia,WA,Harvest,392058.3539428711,0.03920583539428711
2021,21,Namibia,WA,Fires,0,0
2021,21,Namibia,WA,ExtremeEvents,0,0
2022,22,Namibia,WA,Harvest,195025.5771484375,0.01950255771484375
2022,22,Namibia,WA,Fires,0,0
2022,22,Namibia,WA,ExtremeEvents,0,0
2023,23,Namibia,WA,Harvest,185831.48062241497,0.018583148062241497
2023,23,Namibia,WA,Fires,0,0
2023,23,Namibia,WA,ExtremeEvents,0,0
2024,24,Namibia,WA,Harvest,119306.62017822266,0.011930662017822266
2024,24,Namibia,WA,Fires,0,0
2024,24,Namibia,WA,ExtremeEvents,0,0
2025,25,Namibia,WA,Harvest,130430.12951660156,0.013043012951660157
2025,25,Namibia,WA,Fires,0,0
2025,25,Namibia,WA,ExtremeEvents,0,0
