Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Samoa,WS,Harvest,0,0
2011,11,Samoa,WS,Fires,0,0
2011,11,Samoa,WS,ExtremeEvents,0,0
2012,12,Samoa,WS,Harvest,0,0
2012,12,Samoa,WS,Fires,0,0
2012,12,Samoa,WS,ExtremeEvents,0,0
2013,13,Samoa,WS,Harvest,0,0
2013,13,Samoa,WS,Fires,0,0
2013,13,Samoa,WS,ExtremeEvents,0,0
2014,14,Samoa,WS,Harvest,0,0
2014,14,Samoa,WS,Fires,0,0
2014,14,Samoa,WS,ExtremeEvents,0,0
2015,15,Samoa,WS,Harvest,0,0
2015,15,Samoa,WS,Fires,0,0
2015,15,Samoa,WS,ExtremeEvents,0,0
2016,16,Samoa,WS,Harvest,0,0
2016,16,Samoa,WS,Fires,0,0
2016,16,Samoa,WS,ExtremeEvents,0,0
2017,17,Samoa,WS,Harvest,0,0
2017,17,Samoa,WS,Fires,0,0
2017,17,Samoa,WS,ExtremeEvents,0,0
2018,18,Samoa,WS,Harvest,0,0
2018,18,Samoa,WS,Fires,0,0
2018,18,Samoa,WS,ExtremeEvents,0,0
2019,19,Samoa,WS,Harvest,0,0
2019,19,Samoa,WS,Fires,0,0
2019,19,Samoa,WS,ExtremeEvents,0,0
2020,20,Samoa,WS,Harvest,0,0
2020,20,Samoa,WS,Fires,0,0
2020,20,Samoa,WS,ExtremeEvents,0,0
2021,21,Samoa,WS,Harvest,0,0
2021,21,Samoa,WS,Fires,0,0
2021,21,Samoa,WS,ExtremeEvents,0,0
2022,22,Samoa,WS,Harvest,0,0
2022,22,Samoa,WS,Fires,0,0
2022,22,Samoa,WS,ExtremeEvents,0,0
2023,23,Samoa,WS,Harvest,0,0
2023,23,Samoa,WS,Fires,0,0
2023,23,Samoa,WS,ExtremeEvents,0,0
2024,24,Samoa,WS,Harvest,0,0
2024,24,Samoa,WS,Fires,0,0
2024,24,Samoa,WS,ExtremeEvents,0,0
2025,25,Samoa,WS,Harvest,0,0
2025,25,Samoa,WS,Fires,0,0
2025,25,Samoa,WS,ExtremeEvents,0,0
