Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Zimbabwe,ZI,Harvest,20224768.477164716,2.0224768477164714
2011,11,Zimbabwe,ZI,Fires,152989.58557128906,0.015298958557128907
2011,11,Zimbabwe,ZI,ExtremeEvents,32470041.56824544,3.247004156824544
2012,12,Zimbabwe,ZI,Harvest,40324397.05694819,4.032439705694819
2012,12,Zimbabwe,ZI,Fires,859848.5848388672,0.08598485848388672
2012,12,Zimbabwe,ZI,ExtremeEvents,17406141.977783203,1.7406141977783203
2013,13,Zimbabwe,ZI,Harvest,38328143.48083735,3.832814348083735
2013,13,Zimbabwe,ZI,Fires,1165803.9599609375,0.11658039599609375
2013,13,Zimbabwe,ZI,ExtremeEvents,25977391.552501246,2.5977391552501246
2014,14,Zimbabwe,ZI,Harvest,36882567.27222493,3.6882567272224933
2014,14,Zimbabwe,ZI,Fires,68461.38079833984,0.006846138079833985
2014,14,Zimbabwe,ZI,ExtremeEvents,22282585.910271134,2.2282585910271133
2015,15,Zimbabwe,ZI,Harvest,42291448.501479916,4.229144850147992
2015,15,Zimbabwe,ZI,Fires,547689.7913818359,0.05476897913818359
2015,15,Zimbabwe,ZI,ExtremeEvents,48891978.564886354,4.889197856488636
2016,16,Zimbabwe,ZI,Harvest,37535648.60190815,3.753564860190815
2016,16,Zimbabwe,ZI,Fires,1212679.9124231674,0.12126799124231674
2016,16,Zimbabwe,ZI,ExtremeEvents,41114065.922634706,4.111406592263471
2017,17,Zimbabwe,ZI,Harvest,80852089.75970292,8.085208975970293
2017,17,Zimbabwe,ZI,Fires,1901144.482849121,0.1901144482849121
2017,17,Zimbabwe,ZI,ExtremeEvents,118041034.17155668,11.804103417155668
2018,18,Zimbabwe,ZI,Harvest,31085688.862146713,3.1085688862146714
2018,18,Zimbabwe,ZI,Fires,66083.24279785156,0.0066083242797851565
2018,18,Zimbabwe,ZI,ExtremeEvents,19689911.790530935,1.9689911790530934
2019,19,Zimbabwe,ZI,Harvest,37927634.68586353,3.792763468586353
2019,19,Zimbabwe,ZI,Fires,974717.826171875,0.0974717826171875
2019,19,Zimbabwe,ZI,ExtremeEvents,56505057.56324176,5.650505756324176
2020,20,Zimbabwe,ZI,Harvest,23583619.139533542,2.3583619139533543
2020,20,Zimbabwe,ZI,Fires,395538.6590576172,0.039553865905761716
2020,20,Zimbabwe,ZI,ExtremeEvents,16941809.371737853,1.6941809371737853
2021,21,Zimbabwe,ZI,Harvest,33479805.78236705,3.347980578236705
2021,21,Zimbabwe,ZI,Fires,471938.64453125,0.047193864453125
2021,21,Zimbabwe,ZI,ExtremeEvents,21626077.829469927,2.1626077829469925
2022,22,Zimbabwe,ZI,Harvest,39006758.588055536,3.9006758588055535
2022,22,Zimbabwe,ZI,Fires,319273.6879272461,0.03192736879272461
2022,22,Zimbabwe,ZI,ExtremeEvents,18231851.590504844,1.8231851590504844
2023,23,Zimbabwe,ZI,Harvest,26012872.004172888,2.6012872004172887
2023,23,Zimbabwe,ZI,Fires,194705.85052490231,0.019470585052490233
2023,23,Zimbabwe,ZI,ExtremeEvents,10799763.301423196,1.0799763301423195
2024,24,Zimbabwe,ZI,Harvest,26526864.71692971,2.652686471692971
2024,24,Zimbabwe,ZI,Fires,172054.6127319336,0.01720546127319336
2024,24,Zimbabwe,ZI,ExtremeEvents,13879534.031476907,1.3879534031476908
2025,25,Zimbabwe,ZI,Harvest,45719911.62726381,4.5719911627263805
2025,25,Zimbabwe,ZI,Fires,2217855.918762207,0.2217855918762207
2025,25,Zimbabwe,ZI,ExtremeEvents,18343079.943148263,1.8343079943148264
